"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "parkolas" "tetoter" "panelprogram" "legkondicionalo" "erkely" "rezsikoltseg"
"1" "24.5" "56" "2" " 20. kerület, Gubacsipuszta " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "18.9" "27" "1" " 20. kerület, Erzsébetfalva " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "240" "156" "4" " 2. kerület, Szeréna út " "újszeru" "1981-2000 között" "duplakomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön és egyben is" "északkelet" "panorámás" "igen" "teremgarázs hely - benne van az árban" "nem tetotéri" NA "van" "36 m²" NA
"4" "23.9" "36" "1" " 4. kerület, Kordován tér " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "északkelet" "utcai" "nem" "utca, közterület - ingyenes" "nem tetotéri" "nem vett részt" "nincs" NA "30 000 Ft/hó"
"5" "29.99" "49" "2" " 14. kerület, Szugló utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA "4 m²" NA
"6" "54.9" "74" "3" " 12. kerület, Krisztinaváros – Városmajor " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "nincs megadva" "nincs megadva" "nem tetotéri" NA NA NA NA
"7" "39.9" "55" "2" " 13. kerület, Pannónia utca 48. " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északkelet" "panorámás" "nincs megadva" "utca, közterület" "nincs megadva" NA NA "3 m²" NA
"8" "29.9" "54" "2" " 18. kerület, Havanna-lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "utcai" "nem" "utca, közterület - ingyenes" "nem tetotéri" "részt vett" "nincs" "4 m²" "9 000 Ft/hó"
"9" "39.9" "43" "2" " 7. kerület, Akácfa utca " "jó állapotú" NA "komfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nem" "nincs megadva" "nincs megadva" NA NA "4 m²" NA
"10" "34.95" "49" "2" " 3. kerület, Kerék utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" "nincs megadva" "van" "4 m²" NA
"11" "29.99" "71" "3" " 15. kerület, Zsókavár utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "utca, közterület" "nincs megadva" "részt vett" "van" "6 m²" NA
"12" "190" "139" "5" " 2. kerület, Ady Endre utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "nincs megadva" "utca, közterület - fizetos övezet" "nincs megadva" NA NA "16 m²" NA
"13" "67.7" "79" "3" " 13. kerület, Angyalföld – Loportárdulo " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "nincs megadva" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "nincs megadva" "teremgarázs hely - benne van az árban" "nincs megadva" NA NA "4 m²" NA
"14" "33" "55" "2" " 3. kerület, Zab utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nem tetotéri" "nem vett részt" "nincs" "4 m²" "30 000 Ft/hó"
