"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "legkondicionalo" "lakopark_neve" "parkolohely_ara"
"1" "34.9" "71" "3" " 19. kerület, Széchenyi utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "félemelet" "több mint 10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"2" "75" "62" "2" " 2. kerület, Barlang utca " "újszeru" "2001-2010 között" "duplakomfortos" "AA" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "24 m²" "igen" "nem tetotéri" NA "teremgarázs hely" "38 000 Ft/hó" NA NA NA
"3" "58.9" "79" "2" " 8. kerület, Józsefváros – Palotanegyed " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "3 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"4" "24.5" "26" "1" " 8. kerület, Bacsó Béla utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "északnyugat" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "van" NA NA
"5" "16.49" "26" "1" " 8. kerület, Baross utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA NA
"6" "37.9" "54" "2" " 11. kerület, Kelenföld – Nádorliget-lakópark " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "5 m²" "nincs megadva" NA NA "nincs megadva" NA NA NA NA
"7" "399" "151" "6" " 5. kerület, Lipótváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "5 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"8" "329.9" "193" "4" " 6. kerület, Külso-Terézváros " "nincs megadva" "2018" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "20 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"9" "32.9" "44" "1" " 13. kerület, Volegény utca 4. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északnyugat" "kertre nézo" "2 m²" "nem" "nem tetotéri" NA "nincs megadva" NA "van" NA NA
"10" "54.9" "63" "2" " 3. kerület, San Marco utca 51. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "utca, közterület" NA NA NA NA
"11" "49.4" "60" "2" " 13. kerület, Lehel utca " "nincs megadva" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "3 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" "12 000 Ft/hó" NA NA NA
"12" "42.9" "53" "2" " 11. kerület, Fehérvári út " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"13" "46.51" "68" "3" " 9. kerület, Középso-Ferencváros " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"14" "79" "84" "2" " 5. kerület, Vadász utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"15" "92.6" "76" "4" " 3. kerület, Fagyöngy Lakópark " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "13.78 m²" "nem" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA "van" "Fagyöngy Lakópark" "5.4 M Ft"
"16" "96.1" "72" "4" " 3. kerület, Fagyöngy Lakópark " "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "31.2 m²" "igen" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA "van" "Fagyöngy Lakópark" "5.4 M Ft"
"17" "75.2" "65" "3" " 3. kerület, Fagyöngy Lakópark " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "12.72 m²" "nem" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA "van" "Fagyöngy Lakópark" "5.4 M Ft"
"18" "50.6" "52" "2" " 3. kerület, Fagyöngy Lakópark " "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "kelet" "kertre nézo" "15.38 m²" "nem" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA "van" "Fagyöngy Lakópark" "5.4 M Ft"
"19" "99.7" "86" "4" " 3. kerület, Fagyöngy Lakópark " "új építésu" "2020" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" "17.75 m²" "nem" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA "van" "Fagyöngy Lakópark" "5.4 M Ft"
"20" "24.98" "28" "1" " 14. kerület, Wass Albert tér " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" NA "utca, közterület - ingyenes" "6 500 Ft/hó" NA NA NA
