"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "42.5" "44" "1" " 2. kerület, Víziváros " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2.5 m²" "nem" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "154.9" "147" "3" " 13. kerület, Szent István körút " "felújított" NA "luxus" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "5 m²" "nem" "nem tetotéri" "teremgarázs hely" "van" NA NA NA
"3" "74.9" "83" "3" " 9. kerület, Viola utca 27-29. " "újszeru" "2018" "duplakomfortos" "nincs megadva" "földszint" "6" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, házközponti egyedi méréssel" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" NA "igen" "nem tetotéri" "teremgarázs hely - bérelheto" "van" "30 000 Ft/hó" NA NA
"4" "29.9" "30" "1" " 7. kerület, Király utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "25.8" "43" "1" " 18. kerület, Lakatos-lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "56.5" "45" "1" " 5. kerület, Lipótváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "14.99" "32" "1" " 21. kerület, Csepel-Belváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" NA "igen" "nincs megadva" "utca, közterület" "van" NA NA NA
"8" "36" "58" "3" " 13. kerület, Párkány utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "kelet" "panorámás" "2.5 m²" "nem" "nem tetotéri" "utca, közterület" "van" NA "9 000 Ft/hó" "nem vett részt"
"9" "25.2" "53" "2" " 17. kerület, Újlak utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "7 000 Ft/hó" "részt vett"
"10" "27.9" "46" "2" " 17. kerület, Pesti út " "felújított" NA "összkomfortos" "nincs megadva" "5" "5" "nincs" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"11" "49.8" "61" "3" " 8. kerület, Józsefváros – Magdolnanegyed " "újszeru" "2014" "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "délkelet" "utcai" "5 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "5 M Ft" NA NA
"12" "35" "71" "3" " 10. kerület, Gépmadár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "részt vett"
"13" "18.5" "34" "1" " 4. kerület, Szent László tér " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"14" "79" "136" "4" " 5. kerület, Semmelweis utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA "40 000 Ft/hó" NA
"15" "44.5" "79" "2" " 8. kerület, Józsefváros – Corvinnegyed " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"16" "74.8" "67" "2" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"17" "29.9" "65" "2" " 15. kerület, Zsókavár utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "panorámás" NA "nem" "nincs megadva" "utca, közterület" NA NA NA "nincs megadva"
