"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "23.9" "24" "1" " 13. kerület, Újlipótváros – Rómaikert " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "nincs megadva" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"2" "25.9" "25" "1" " 13. kerület, Újlipótváros – Rómaikert " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "nincs megadva" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"3" "116" "104" "3" " 12. kerület, Virányos " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "önálló garázs - kötelezo megvenni" "18 m²" "5 M Ft" NA NA NA
"4" "57.8" "55" "2" " 2. kerület, Hárshegy " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "7" "több mint 10" "van" "3 m-nél alacsonyabb" "fan-coil" "igen" "egy helyiségben" "délnyugat" "panorámás" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "1 m²" NA "van" NA NA
"5" "23.48" "31" "1" " 8. kerület, Mátyás tér " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "nincs megadva" NA NA NA "7 890 Ft/hó" NA
"6" "43.9" "53" "2" " 13. kerület, Forgách köz " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "6 m²" NA NA NA NA
"7" "69.99" "76" "4" " 7. kerület, Dohány utca 86. " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "elektromos" "igen" "külön és egyben is" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "12 m²" NA "van" "20 000 Ft/hó" NA
"8" "58.9" "79" "2" " 8. kerület, Józsefváros – Palotanegyed " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "15 m²" NA "nincs" NA NA
"9" "47.3" "96" "4" " 21. kerület, Karácsony Sándor utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "fan-coil, házközponti" "igen" "külön és egyben is" "nyugat" "panorámás" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "47 m²" "2.4 M Ft" "van" NA NA
"10" "28.5" "57" "2" " 3. kerület, Lukács György utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA "van" NA "nem vett részt"
"11" "38.2" "57" "1" " 13. kerület, Esztergomi út 58. " "nincs megadva" NA "nincs megadva" "nincs megadva" "4" "8" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "dél" "panorámás" "nincs megadva" NA "utca, közterület - fizetos övezet" "4 m²" NA NA "30 000 Ft/hó" NA
"12" "22" "35" "1" " 21. kerület, Csepel-Ófalu " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA NA "nincs megadva"
"13" "31.5" "63" "2" " 21. kerület, Rakéta utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" NA NA "40 Ft/hó" "nincs megadva"
"14" "79.45" "100" "3" " 12. kerület, Krisztinaváros " "újszeru" "1950 elott" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "23 000 Ft/hó" NA
"15" "76.9" "85" "3" " 8. kerület, Rökk Szilárd utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" NA NA
"16" "34" "44" "1" " 9. kerület, Középso-Ferencváros " "újszeru" "2019" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "15 m²" NA "nincs" NA NA
"17" "36.9" "49" "1" " 11. kerület, Cirmos utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "5 m²" NA NA NA "nincs megadva"
"18" "129" "120" "5" " 2. kerület, Szemlohegy " "felújítandó" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "igen" "nincs megadva" "udvari beálló" "15 m²" NA NA NA NA
"19" "81.3" "69" "3" " 1. kerület, Krisztinaváros – Naphegy " "újszeru" "2019" "összkomfortos" "AA++" "3" "4" "van" "3 m-nél alacsonyabb" "megújuló energia" "igen" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" "15 m²" NA "van" NA NA
"20" "38.5" "57" "2" " 13. kerület, Dunyov István utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA "nincs megadva"
