"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "parkolohely_ara" "erkely"
"1" "32" "50" "2" " 14. kerület, Füredi park " "jó állapotú" "1950-1980 között" "összkomfortos" "AA" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti, hoszivattyú" "van" "4 000 Ft/hó" "nem" "külön helyiségben" "dél" "kertre nézo" "nem" "nincs megadva" "nem vett részt" "önálló garázs - bérelheto" "5 600 Ft/hó" NA
"2" "12.9" "14" "1" " 15. kerület, Rákospalota – Énekes utcai lakótelep " "újszeru" "2018" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"3" "21.9" "44" "2" " 4. kerület, Újpest " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "északkelet" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"4" "84.9" "89" "3" " 1. kerület, Tabán " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "házközponti" NA NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "3 m²"
"5" "50" "78" "2.5" " 18. kerület, Jakabháza utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" NA "17 m²"
"6" "42.9" "66" "3" " 7. kerület, Péterfy Sándor utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "külön és egyben is" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"7" "23.9" "35" "1" " 8. kerület, Józsefváros – Népszínháznegyed " "felújított" NA "nincs megadva" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"8" "34.9" "44" "2" " 7. kerület, Erzsébet körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA
"9" "118" "94" "3" " 5. kerület, Belváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA
"10" "25.9" "35" "1" " 10. kerület, Kobánya – Újhegy " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
