"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "panelprogram" "legkondicionalo" "parkolohely_ara"
"1" "50" "56" "2" " 13. kerület, Forgách köz 14. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "25 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "95" "85" "3" " 9. kerület, Ráday utca " "felújított" "duplakomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nem" "nincs megadva" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" NA NA NA
"3" "580" "749" "3" " 7. kerület, Peterdy utca " "felújított" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "tetotéri" "utca, közterület" "2001-2010 között" NA NA NA
"4" "130" "82" "2" " 5. kerület, Haris köz " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"5" "25.9" "35" "1" " 10. kerület, Gyárduloi lakótelep " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "nincs megadva" NA NA
"6" "38.5" "63" "2" " 11. kerület, Andor utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "9" "nincs megadva" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "utca, közterület" "1950-1980 között" "nincs megadva" NA NA
"7" "165" "90" "2" " 1. kerület, Víziváros " "felújított" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "24 000 Ft/hó" "nem" "külön és egyben is" "kelet" "panorámás" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA "van" NA
"8" "44.5" "73" "3" " 7. kerület, Bethlen Gábor utca 43. " "felújított" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA
"9" "63.9" "70" "3" " 12. kerület, Tartsay Vilmos utca " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "nincs megadva" NA "nem" "külön helyiségben" "délnyugat" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA "van" NA
"10" "41.9" "48" "3" " 13. kerület, Jász utca " "újszeru" "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7 m²" "nincs megadva" "nincs megadva" "nincs megadva" "2001-2010 között" NA NA NA
"11" "26" "46" "1" " 14. kerület, Alsórákos – Füredi utcai lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "nincs megadva" NA NA
"12" "49.8" "50" "2" " 9. kerület, Haller utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "nyugat" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület" "2001-2010 között" NA "van" NA
"13" "24.9" "47" "1" " 18. kerület, Hosszúház utca " "nincs megadva" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "25 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "utcai" "5 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA "van" NA
"14" "47.9" "73" "3" " 7. kerület, Bethlen Gábor utca 43. " "felújított" "duplakomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "dél" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA
"15" "23.5" "33" "1" " 9. kerület, Sobieski János utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"16" "149" "95" "3" " 13. kerület, Szent István park " "felújított" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nyugat" "utcai" "1.53 m²" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA
