"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "panelprogram"
"1" "26.9" "53" "2" " 7. kerület, Marek József utca 32. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "cserépkályha" "nincs" "25 000 Ft/hó" "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "76.26" "48" "2" " 6. kerület, Ó utca " "új építésu" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "48.99" "74" "3" " 4. kerület, Újpest " "új építésu" "2020" "összkomfortos" "AA+" "2" "3" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" NA "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "7 m²" "2.5 M Ft" NA
"4" "43.9" "68" "3" " 10. kerület, Tavas utca " "közepes állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "nem" "külön és egyben is" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "6 m²" NA NA
"5" "149" "160" "4" " 6. kerület, Szondi utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko), elektromos" NA "30 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "46.8" "75" "4" " 14. kerület, Szugló utca 80. " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"7" "71.9" "81" "2" " 6. kerület, Lázár utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs" "17 000 Ft/hó" "igen" "külön helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"8" "31.5" "46" "2" " 8. kerület, Baross utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "igen" "nincs megadva" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"9" "57.7" "83" "2" " 14. kerület, Róna utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "3 m²" NA NA
"10" "100.15" "79" "2" " 13. kerület, Meder utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "7" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" "14 m²" NA NA
