"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "parkolas" "erkely" "tetoter" "panelprogram" "rezsikoltseg"
"1" "31.9" "48" "2" " 14. kerület, Nezsider park " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "van" "nem" "egy helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "114.7" "104" "4" " 11. kerület, Hosszúrét " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "megújuló energia" NA "nem" "nincs megadva" "délkelet" "panorámás" "igen" "teremgarázs hely" "18 m²" "nincs megadva" NA NA
"3" "3" "51" "2" " 3. kerület, Hadrianus utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA
"4" "109" "119" "4" " 3. kerület, Ürömhegy " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "teremgarázs hely - megvásárolható" "80 m²" "nincs megadva" NA NA
"5" "38.9" "49" "2" " 1. kerület, Mészáros utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nem" "utca, közterület" "1 m²" "nem tetotéri" NA "12 500 Ft/hó"
"6" "95" "111" "4" " 3. kerület, Ürömhegy " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "teremgarázs hely - megvásárolható" "70 m²" "nincs megadva" NA NA
"7" "66.61" "40" "1" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "2 m²" "nem tetotéri" NA NA
"8" "43" "58" "2" " 8. kerület, Józsefváros – Orczynegyed " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nincs megadva" "11 m²" "nem tetotéri" NA NA
"9" "95" "107" "3" " 1. kerület, Tabán " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "távfutés" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "utca, közterület" "4 m²" "nem tetotéri" NA NA
"10" "140.24" "100" "3" " 5. kerület, Gerlóczy utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" NA "nem tetotéri" NA NA
