"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg" "lakopark_neve" "parkolohely_ara"
"1" "25.5" "35" "1" " 15. kerület, Újpalota " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nem" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"2" "46.9" "68" "3" " 7. kerület, Középso-Erzsébetváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA NA
"3" "89.9" "110" "3" " 13. kerület, Angyalföld " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "90 m²" NA NA NA NA
"4" "48.5" "43" "1" " 7. kerület, Középso-Erzsébetváros " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "5 m²" NA NA NA NA
"5" "80.99" "62" "2" " 2. kerület, Káplár utca " "felújított" "1950 elott" "összkomfortos" "FF" "5" "6" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" NA "udvari beálló" NA "van" "20 000 Ft/hó" NA NA
"6" "65" "54" "2" " 6. kerület, Belso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "egyéb" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA NA
"7" "69.55" "68" "3" " 13. kerület, UpTown " "új építésu" "2021" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "padlófutés, mennyezeti hutés-futés" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "36.87 m²" "van" NA "UpTown" "3.5 M Ft"
"8" "43.44" "48" "2" " 13. kerület, UpTown " "új építésu" "2021" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "padlófutés, mennyezeti hutés-futés" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "8.68 m²" "van" NA "UpTown" "3.5 M Ft"
"9" "48.1" "54" "2" " 13. kerület, UpTown " "új építésu" "2020" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "padlófutés, mennyezeti hutés-futés" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "13.16 m²" "van" NA "UpTown" "3.5 M Ft"
"10" "36.86" "40" "2" " 13. kerület, UpTown " "új építésu" "2021" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "padlófutés, mennyezeti hutés-futés" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "13.52 m²" "van" NA "UpTown" "3.5 M Ft"
