"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "legkondicionalo" "panelprogram"
"1" "109.48" "104" "4" " 11. kerület, Hosszúrét " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "hoszivattyú" "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "18 m²" "igen" "nem tetotéri" "udvari beálló - kötelezo megvenni" "2 M Ft" NA NA NA
"2" "30" "24" "1" " 8. kerület, Víg utca " "felújított" NA "nincs megadva" "nincs megadva" "félemelet" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "15 000 Ft/hó" NA NA
"3" "63" "100" "2" " 8. kerület, Józsefváros – Palotanegyed " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs" NA
"4" "129" "138" "4" " 13. kerület, Bodor utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "18 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "60 000 Ft/hó" NA NA
"5" "43.9" "60" "2" " 7. kerület, Belso-Erzsébetváros " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"6" "36.5" "44" "2" " 8. kerület, Józsefváros – Corvinnegyed " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "28.8" "32" "1" " 13. kerület, Gergely Gyozo utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" NA
"8" "51.8" "70" "2" " 8. kerület, Práter utca 59. " "jó állapotú" NA "nincs megadva" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "25 000 Ft/hó" "nincs" NA
"9" "26" "46" "1" " 14. kerület, Alsórákos " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"10" "99.9" "78" "3" " 5. kerület, Stollár Béla utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
