"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "erkely" "rezsikoltseg"
"1" "66.5" "83" "2.5" " 12. kerület, Hajnóczy József utca 8. " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "igen" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"2" "35.9" "54" "2" " 9. kerület, Ecseri út 4/1 " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nem" "egy helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"3" "29" "38" "1" " 14. kerület, Gyarmat utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "25.3" "49" "2" " 20. kerület, János utca 51. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "igen" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs megadva" NA NA
"5" "74" "88" "3" " 11. kerület, Kende utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "távfutés" "van" "nem" "külön és egyben is" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "6 m²" NA
"6" "48.7" "70" "3" " 15. kerület, Esthajnal utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "önálló garázs" NA NA NA
"7" "40.9" "73" "2.5" " 3. kerület, Torma Károly utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" NA NA
"8" "39.9" "38" "2" " 5. kerület, Haris köz 5. " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "5" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "9 500 Ft/hó"
"9" "23.9" "32" "1" " 6. kerület, Bajnok utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "délnyugat" "udvari" "igen" "nem tetotéri" "utca, közterület" NA NA NA
"10" "33" "52" "3" " 9. kerület, Ülloi út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA "4 m²" NA
"11" "49.8" "65" "2" " 7. kerület, István utca 18. " "felújított" "1950 elott" "összkomfortos" "BB" "2" "3" "nincs" "3 m vagy magasabb" "gázkazán" "nincs" "nem" "külön helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "25 000 Ft/hó"
"12" "30.5" "56" "2" " 3. kerület, Szilke utca 1. " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "igen" "egy helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" "3 m²" "24 998 Ft/hó"
"13" "58" "92" "3" " 8. kerület, Stáhly utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "nincs megadva" NA NA NA
