"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg" "erkely" "lakopark_neve"
"1" "41" "45" "1" " 11. kerület, Lágymányosi lakótelep " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "59.9" "61" "2" " 11. kerület, Gellérthegy " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"3" "26.4" "51" "2" " 3. kerület, Lukács György utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés" "nem" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "nincs" "nincs megadva" NA NA NA
"4" "64.9" "69" "2" " 7. kerület, Belso-Erzsébetváros " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"5" "58.9" "55" "2" " 6. kerület, Bajcsy-Zsilinszky út 17. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "fan-coil" "nincs megadva" "egy helyiségben" "északnyugat" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "van" NA "45 000 Ft/hó" NA NA
"6" "39.7" "42" "2" " 14. kerület, Alsórákos " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "van" NA "12 000 Ft/hó" "3 m²" NA
"7" "177.24" "77" "2" " 5. kerület, Sweet Corner Residence " "új építésu" "2021" "luxus" "nincs megadva" "5" "7" "van" "nincs megadva" "hoszivattyú, falfutés" "igen" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA "22.84 m²" "Sweet Corner Residence"
"8" "192.1" "93" "3" " 5. kerület, Sweet Corner Residence " "új építésu" "2021" "luxus" "nincs megadva" "5" "7" "van" "nincs megadva" "hoszivattyú, falfutés" "igen" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA "17.1 m²" "Sweet Corner Residence"
"9" "123.75" "65" "2" " 5. kerület, Sweet Corner Residence " "új építésu" "2021" "luxus" "nincs megadva" "5" "7" "van" "nincs megadva" "hoszivattyú, falfutés" "igen" "külön helyiségben" "észak" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA "8.06 m²" "Sweet Corner Residence"
"10" "193.53" "93" "3" " 5. kerület, Sweet Corner Residence " "új építésu" "2021" "luxus" "nincs megadva" "5" "7" "van" "nincs megadva" "hoszivattyú, falfutés" "igen" "külön helyiségben" "észak" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA "29.46 m²" "Sweet Corner Residence"
"11" "46.99" "61" "2" " 11. kerület, Lágymányosi lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "3 m²" NA
"12" "39.7" "42" "2" " 14. kerület, Alsórákos " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "van" NA NA "3 m²" NA
"13" "73.9" "76" "3" " 6. kerület, Király utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
