"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram"
"1" "246.55" "121" "4" " 5. kerület, Sweet Corner Residence " "Sweet Corner Residence" "új építésu" "2021" "luxus" "nincs megadva" "5" "7" "van" "nincs megadva" "hoszivattyú, falfutés" "van" "igen" "külön helyiségben" "nyugat" "utcai" "16.91 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"2" "129.38" "60" "2" " 5. kerület, Sweet Corner Residence " "Sweet Corner Residence" "új építésu" "2021" "luxus" "nincs megadva" "5" "7" "van" "nincs megadva" "hoszivattyú, falfutés" "van" "igen" "külön helyiségben" "nyugat" "utcai" "9.96 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"3" "206.75" "93" "3" " 5. kerület, Sweet Corner Residence " "Sweet Corner Residence" "új építésu" "2021" "luxus" "nincs megadva" "5" "7" "van" "nincs megadva" "hoszivattyú, falfutés" "van" "igen" "külön helyiségben" "nyugat" "utcai" "21.11 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"4" "57.9" "65" "2" " 6. kerület, Belso-Terézváros " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs" "nem" "külön helyiségben" "délkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" "18 000 Ft/hó" NA
"5" "303.46" "143" "4" " 5. kerület, Sweet Corner Residence " "Sweet Corner Residence" "új építésu" "2021" "luxus" "nincs megadva" "5" "7" "van" "nincs megadva" "hoszivattyú, falfutés" "van" "igen" "külön helyiségben" "nyugat" "utcai" "26.47 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"6" "64.9" "98" "3" " 3. kerület, Óbuda-Óváros " NA "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "nincs megadva" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"7" "64.9" "98" "3" " 3. kerület, Óbuda-Óváros " NA "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "nincs megadva" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"8" "39.9" "49" "2" " 1. kerület, Pauler utca " NA "felújítandó" NA "komfortos" "nincs megadva" "szuterén" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"9" "33.9" "65" "2" " 18. kerület, Tölgy utca " NA "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"10" "39.99" "53" "2" " 11. kerület, Mohai köz " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"11" "63.1" "65" "2" " 6. kerület, Teréz körút 23. " NA "nincs megadva" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva"
"12" "56" "56" "2" " 6. kerület, Szív utca " NA "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "8 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
