"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "legkondicionalo" "lakopark_neve" "panelprogram"
"1" "61.2" "86" "3" " 14. kerület, Cserebogár utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "udvari" "36 m²" "igen" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "3 M Ft" NA NA NA NA
"2" "199" "129" "5" " 1. kerület, Várkert rakpart " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön és egyben is" "dél" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" NA "37 000 Ft/hó" NA NA NA
"3" "79.9" "95" "3" " 6. kerület, Munkácsy Mihály utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "van" NA NA
"4" "104" "100" "4" " 13. kerület, Csángó utca " "újszeru" "2018" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "megújuló energia" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "60 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "van" NA NA
"5" "24.5" "23" "1" " 14. kerület, Gizella út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"6" "69.9" "60" "2" " 5. kerület, Honvéd utca " "befejezetlen" NA "nincs megadva" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "55" "90" "3" " 7. kerület, Rottenbiller utca " "felújítandó" NA "nincs megadva" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "20 000 Ft/hó" NA NA NA
"8" "39.05" "45" "2" " 11. kerület, Semiramis Garden " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "4.58 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3.5 M Ft" NA "van" "Semiramis Garden" NA
"9" "60.99" "63" "2" " 11. kerület, Semiramis Garden " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "22.82 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3.5 M Ft" NA "van" "Semiramis Garden" NA
"10" "64.49" "65" "3" " 11. kerület, Semiramis Garden " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "24.76 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3.5 M Ft" NA "van" "Semiramis Garden" NA
