"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "13.9" "21" "1" " 20. kerület, Lázár utca 11-13. fszt. 2 " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "65" "108" "3" " 16. kerület, Cinkota – Ilonatelep " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"3" "27.9" "27" "1" " 7. kerület, Rózsák tere " "felújított" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "van" NA NA NA NA
"4" "23.6" "49" "2" " 18. kerület, Vikár Béla utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "nincs megadva" "nem" "nem tetotéri" "nincs megadva" "1950-1980 között" "nincs" NA NA NA NA
"5" "54.5" "54" "2" " 12. kerület, Apor Vilmos tér 23. " "felújított" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko), padlófutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "15 000 Ft/hó" "2 m²" NA NA
"6" "23.42" "42" "1" " 8. kerület, Diószegi Sámuel utca " "felújítandó" "komfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA NA
"7" "30.9" "36" "1" " 3. kerület, Raktár utca " "felújított" "nincs megadva" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" "1950-1980 között" "nincs" "20 000 Ft/hó" NA NA NA
"8" "31.7" "56" "2" " 14. kerület, Rákosfalva " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA "nincs megadva" NA
"9" "169" "137" "3.5" " 3. kerület, Jablonka út " "nincs megadva" "duplakomfortos" "nincs megadva" "földszint" "2" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "kelet" "panorámás" "igen" "nem tetotéri" "teremgarázs hely - benne van az árban" "2021" "van" NA "78.73 m²" NA NA
"10" "24" "40" "1" " 23. kerület, Grassalkovich út " "újszeru" "duplakomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"11" "133.9" "113" "3" " 3. kerület, Jablonka út " "nincs megadva" "duplakomfortos" "nincs megadva" "földszint" "2" "van" "3 m vagy magasabb" "mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "dél" "utcai" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "2021" "van" NA "30.25 m²" NA NA
"12" "35.8" "71" "2" " 4. kerület, Nyár utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "kelet" "nincs megadva" "nem" "nem tetotéri" "utca, közterület" "1981-2000 között" "nincs" "40 000 Ft/hó" NA "nem vett részt" NA
"13" "49.49" "54" "2" " 6. kerület, Lovag utca " "nincs megadva" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA NA
"14" "129.9" "103" "3" " 3. kerület, Jablonka út " "nincs megadva" "duplakomfortos" "nincs megadva" "földszint" "2" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "kelet" "panorámás" "nincs megadva" "nem tetotéri" "önálló garázs - kötelezo megvenni" "2021" "van" NA "26.14 m²" NA NA
"15" "28.9" "47" "2" " 4. kerület, Újpest – Pozsonyi utcai lakótelep " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "nincs megadva" NA
"16" "48.92" "72" "3" " 4. kerület, Újpest " "nincs megadva" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "2019" NA NA "6.75 m²" NA "2.5 M Ft"
"17" "29.9" "53" "2" " 4. kerület, Intarzia utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" "nincs" NA NA "nem vett részt" NA
