"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram"
"1" "50" "50" "2" " 13. kerület, Pap Károly utca " "újszeru" "2001-2010 között" "nincs megadva" "AA++" "nincs megadva" "8" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "10 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "udvari" "8 m²" "nem" "nem tetotéri" "teremgarázs hely" NA NA
"2" "24.9" "29" "1" " 11. kerület, Kelenföld " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "északkelet" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"3" "27" "64" "2" " 20. kerület, Hosszú utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "igen" "nincs megadva" "nincs megadva" NA NA
"4" "40.83" "42" "2" " 8. kerület, Józsefváros – Csarnoknegyed " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "4" "6" "van" "nincs megadva" "hoszivattyú" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "4 M Ft" NA
"5" "74.9" "95" "2" " 2. kerület, Szász Károly utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"6" "29.5" "49" "2" " 3. kerület, Szentendrei út " "jó állapotú" NA "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "távfutés" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva"
"7" "76.9" "106" "4" " 7. kerület, Középso-Erzsébetváros " "felújított" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "nincs megadva" NA NA "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "7 m²" "nem" "nem tetotéri" "nincs megadva" NA NA
"8" "14.5" "18" "1" " 19. kerület, Templom tér " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "30 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"9" "62.46" "64" "3" " 11. kerület, Péterhegy " "újszeru" "2019" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, megújuló energia" "van" NA "igen" "külön helyiségben" "délnyugat" "panorámás" "18 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft" NA
"10" "21.99" "27" "1" " 13. kerület, Angyalföld – Loportárdulo " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nem" "egy helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"11" "27.7" "36" "1" " 14. kerület, Nagyzugló – Kerepesi úti lakótelep " "közepes állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"12" "26.3" "35" "1" " 13. kerület, Gidófalvy Lajos utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" NA "igen" "egy helyiségben" "délkelet" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "részt vett"
"13" "38" "51" "1" " 13. kerület, Mosoly utca 36. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"14" "114.9" "128" "4" " 6. kerület, Eötvös utca " "újszeru" "2019" "luxus" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "hoszivattyú, mennyezeti hutés-futés" "van" NA "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "8.5 m²" "nincs megadva" "tetotéri" "nincs megadva" NA NA
"15" "49" "52" "2" " 6. kerület, Izabella utca " "közepes állapotú" "1950 elott" "duplakomfortos" "BB" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "35 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"16" "74.9" "95" "3" " 2. kerület, Szász Károly utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA
"17" "18.9" "21" "1" " 4. kerület, Attila utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "elektromos" "nincs" "13 000 Ft/hó" "nem" "egy helyiségben" "dél" "udvari" "20.5 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"18" "65" "65" "2" " 6. kerület, Teréz körút " "felújított" NA "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor), elektromos" NA NA "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA
