"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "erkely" "rezsikoltseg" "legkondicionalo"
"1" "34.4" "30" "1" " 6. kerület, Külso-Terézváros " "felújított" "1950-1980 között" "komfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"2" "26.8" "36" "1" " 4. kerület, Szilágyi utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "64.5" "158" "5" " 10. kerület, Korösi Csoma sétány " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "124.9" "136" "4" " 12. kerület, Széchenyihegy " "nincs megadva" "2015" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "35 m²" NA NA
"5" "47" "65" "3" " 14. kerület, Pöstyén utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "8 m²" NA NA
"6" "79.5" "78" "3" " 13. kerület, Cserhalom utca " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "5" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "38 m²" NA NA
"7" "36.5" "45" "1" " 11. kerület, Sáfrány utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "39 999 Ft/hó" NA
"8" "43.9" "84" "3" " 7. kerület, Középso-Erzsébetváros " "közepes állapotú" "1950 elott" "komfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"9" "55" "88" "5" " 8. kerület, Népszínház utca " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "igen" "külön és egyben is" "kelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "22 000 Ft/hó" NA
"10" "75" "84" "3" " 2. kerület, Országút " "felújítandó" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"11" "39.5" "51" "1" " 13. kerület, Róbert Károly körút " "felújított" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület" NA NA NA "nincs"
"12" "114" "114" "3" " 9. kerület, Boráros tér 3. " "felújított" NA "duplakomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "dél" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA "2 m²" "28 000 Ft/hó" "van"
