"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg"
"1" "113.2" "226" "5" " 10. kerület, Kobánya – Újhegy " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "házközponti egyedi méréssel, padlófutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "256 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA
"2" "44.9" "64" "2" " 14. kerület, Törökor " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "4" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - bérelheto" "15 000 Ft/hó" NA NA
"3" "53" "41" "1" " 6. kerület, Hajós utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "2" "4" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "103.68" "100" "4" " 7. kerület, Dembinszky utca 8. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"5" "31.9" "59" "2" " 3. kerület, Aquincum " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "gázkazán" "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"6" "77.9" "74" "2" " 5. kerület, Stollár Béla utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"7" "46" "65" "2" " 7. kerület, Király utca " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "délkelet" "udvari" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA
"8" "75.7" "105" "3" " 11. kerület, Lágymányos – Muegyetem környéke " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "49.9" "72" "2" " 7. kerület, Damjanich utca 40. " "felújítandó" NA "komfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "cserépkályha" "igen" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "udvari beálló - bérelheto" NA "nincs" NA
"10" "252" "97" "4" " 2. kerület, Rózsadomb " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"11" "59.9" "94" "2" " 11. kerület, Kelenföld " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"12" "79.99" "83" "3" " 9. kerület, Drégely utca 6-8 " "újszeru" "2001-2010 között" "duplakomfortos" "A" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "északnyugat" "udvari" "18 m²" "nem" "tetotéri" "teremgarázs hely - megvásárolható" "6 M Ft" "van" "40 000 Ft/hó"
"13" "69.9" "65" "2" " 11. kerület, Ulászló utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "panorámás" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"14" "57.3" "82" "2" " 11. kerület, Sashegy " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "13 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"15" "75.9" "65" "2" " 12. kerület, Kútvölgy " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "nincs megadva" "panorámás" "40 m²" "nem" "nincs megadva" "utca, közterület" NA NA NA
"16" "153" "153" "5" " 5. kerület, Szemere utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "házközponti" "nem" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA
"17" "106" "106" "3" " 5. kerület, Szemere utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "házközponti" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA "van" NA
"18" "42.7" "71" "2" " 14. kerület, Thököly út " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "kelet" "utcai" NA "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"19" "42.9" "50" "2" " 13. kerület, Lehel utca 70. " "újszeru" "2001-2010 között" "összkomfortos" "AA+" "3" "8" "van" "nincs megadva" "gáz (cirko)" "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "5 m²" "nem" "nincs megadva" "nincs megadva" NA NA "11 000 Ft/hó"
"20" "45.5" "60" "3" " 8. kerület, Karácsony Sándor utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
