"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg"
"1" "28.9" "53" "2" " 4. kerület, Újpesti lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA NA NA
"2" "45" "45" "2" " 11. kerület, Kánai út 9. " "újszeru" "nincs megadva" "nincs megadva" "földszint" "4" "van" "nincs megadva" "fan-coil" "igen" "egy helyiségben" "észak" "nincs megadva" "6 m²" "igen" "nincs megadva" NA "nincs megadva" "2011" "van" NA
"3" "13.5" "32" "1" " 20. kerület, Jósika utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "10 000 Ft/hó"
"4" "57.1" "71" "2" " 13. kerület, Fáy köz " "jó állapotú" "nincs megadva" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "nincs megadva" "2 m²" "igen" "nem tetotéri" NA "önálló garázs - kötelezo megvenni" "1981-2000 között" "nincs" NA
"5" "92.9" "76" "2" " 9. kerület, Kálvin tér " "nincs megadva" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" "tetotéri" NA "nincs megadva" "2019" "van" NA
"6" "21.9" "35" "1" " 4. kerület, Újpest " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "nincs megadva" "udvari" NA "igen" "nem tetotéri" NA "nincs megadva" "1981-2000 között" NA NA
"7" "59.5" "79" "2" " 3. kerület, Viador utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "utcai" "2 m²" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950-1980 között" "van" NA
"8" "139" "144" "4" " 9. kerület, Balázs Béla utca 3. " "újszeru" "nincs megadva" "AA+" "6" "7" "van" "nincs megadva" "házközponti" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "22 m²" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2012" "van" NA
"9" "22.45" "31" "1" " 8. kerület, Baross utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "1950 elott" NA NA
"10" "45" "73" "2.5" " 17. kerület, Kvasz András utca " "újszeru" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "18 m²" "igen" "nincs megadva" NA "udvari beálló - benne van az árban" "2001-2010 között" "van" NA
"11" "28.9" "51" "2" " 8. kerület, Fecske utca " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"12" "148.5" "107" "2" " 5. kerület, Váci utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"13" "39.8" "71" "2" " 19. kerület, Nagysándor József utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"14" "28.2" "57" "2" " 3. kerület, Gyuru utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "14 000 Ft/hó"
"15" "31.9" "55" "2" " 14. kerület, Kaffka Margit utca " "jó állapotú" "duplakomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "gáz (cirko)" "nem" "külön és egyben is" "dél" "nincs megadva" NA "nem" "tetotéri" NA "utca, közterület - ingyenes" "2001-2010 között" NA NA
"16" "34.75" "52" "2" " 11. kerület, Rétköz utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "nincs megadva" "panorámás" "1 m²" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA "van" "18 000 Ft/hó"
"17" "48" "100" "3" " 14. kerület, Miskolci utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"18" "42" "57" "1" " 12. kerület, Városmajor utca " "jó állapotú" "komfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "udvari" "3 m²" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "nincs" "15 000 Ft/hó"
