"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "panelprogram" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "37" "67" "2" " 17. kerület, Sima utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "32" "58" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" "nincs megadva" NA NA NA
"3" "23.94" "31" "1" " 8. kerület, Orczy tér 4. " "jó állapotú" "összkomfortos" "CC" "3" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "északnyugat" "nincs megadva" "3 m²" "nem" NA "teremgarázs hely - bérelheto" "2001-2010 között" NA "nincs" "18 000 Ft/hó" "12 500 Ft/hó"
"4" "23.9" "46" "1" " 8. kerület, Dobozi utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA
"5" "59.8" "70" "2" " 14. kerület, Bartl János utca " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA NA NA
"6" "57.9" "40" "1" " 13. kerület, Pozsonyi út 46. " "felújítandó" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "125" "90" "3" " 6. kerület, Székely Mihály utca " "felújított" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "25 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA NA NA NA
"8" "20.9" "30" "1" " 15. kerület, Madách utca 28. " "felújított" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "utcai" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" NA "nincs" "20 Ft/hó" NA
"9" "61.99" "81" "4" " 16. kerület, Hétvezér utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "2011" NA NA NA NA
"10" "68" "80" "2" " 8. kerület, Baross utca " "felújított" "luxus" "AA+" "2" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA "nincs" NA NA
