"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "legkondicionalo" "erkely" "parkolohely_ara"
"1" "26.6" "40" "1" " 13. kerület, Mosoly utca 27. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "28" "59" "2" " 4. kerület, Deák Ferenc utca 61. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs megadva" NA NA NA
"3" "65" "65" "3" " 2. kerület, Völgy utca " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "elektromos" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"4" "41.9" "52" "2" " 14. kerület, Hungária körút " "felújított" NA "nincs megadva" "nincs megadva" "2" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA "van" "5 m²" NA
"5" "25.6" "35" "1" " 9. kerület, Ifjúmunkás utca " "felújított" NA "nincs megadva" "nincs megadva" "3" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "7 420 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" NA NA NA
"6" "39.9" "67" "2" " 4. kerület, Hajló utca " "felújított" NA "nincs megadva" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" "nem vett részt" "van" "2 m²" NA
"7" "29.5" "42" "1" " 14. kerület, Kacsóh Pongrác út 119. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" NA "utca, közterület - ingyenes" NA "van" "1 m²" NA
"8" "26.8" "32" "1" " 18. kerület, Nemes utca " "felújított" NA "nincs megadva" "nincs megadva" "3" "3" "nincs" "nincs megadva" "házközponti" "25 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "tetotéri" "nincs megadva" NA "van" NA NA
"9" "54.9" "53" "2" " 12. kerület, Zulejka utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "önálló garázs - benne van az árban" NA "van" "4 m²" NA
"10" "34.9" "39" "1" " 14. kerület, Róna utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "egyéb, elektromos" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "nincs megadva" NA "van" NA NA
"11" "48.9" "52" "2" " 13. kerület, Pannónia utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"12" "29.5" "52" "2" " 17. kerület, Kis utca 3. " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "részt vett" "van" NA NA
"13" "62" "73" "2" " 11. kerület, Kende utca " "nincs megadva" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "2 m²" NA
"14" "24.5" "35" "1" " 8. kerület, Delej utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
