"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "panelprogram" "erkely" "parkolohely_ara"
"1" "38.9" "56" "3" " 7. kerület, Dózsa György út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "45.7" "73" "3" " 13. kerület, Tüzér utca 40. " "felújított" "komfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (cirko)" "igen" "egy helyiségben" "nincs megadva" "panorámás" "igen" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" "van" NA NA NA NA
"3" "17.9" "26" "1" " 14. kerület, Erzsébet királyné útja " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "igen" "nem tetotéri" "utca, közterület" "1950 elott" "nincs" NA NA NA NA
"4" "21" "31" "1" " 10. kerület, Korösi Csoma Sándor út " "felújított" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" NA "nincs megadva" "1950-1980 között" NA NA NA NA NA
"5" "61.9" "63" "2" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA NA NA NA
"6" "31.9" "53" "2" " 8. kerület, Teleki László tér " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "30 000 Ft/hó" NA NA NA
"7" "25.9" "34" "1" " 8. kerület, József utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "dél" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" "nincs" NA NA NA NA
"8" "30.9" "25" "1" " 6. kerület, Belso-Terézváros " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA NA
"9" "26.9" "37" "1" " 14. kerület, Pillangó park 14. " "jó állapotú" "összkomfortos" "C" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület" "1981-2000 között" NA "25 000 Ft/hó" "részt vett" NA NA
"10" "29.5" "49" "1" " 7. kerület, Hernád utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"11" "25.8" "49" "2" " 10. kerület, Ihász köz " "jó állapotú" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" NA "utca, közterület - ingyenes" NA "nincs" NA NA "6 m²" NA
"12" "73" "105" "4" " 7. kerület, Thököly út " "közepes állapotú" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA "3 m²" NA
"13" "28.6" "45" "1" " 14. kerület, Szobránc utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (cirko)" "nem" "külön helyiségben" "dél" "panorámás" "igen" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "30 000 Ft/hó" NA "1 m²" NA
"14" "34.9" "40" "1" " 11. kerület, Budaörsi út " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "van" NA NA NA NA
"15" "45" "41" "1" " 3. kerület, Nánási út 5-7 " "újszeru" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - benne van az árban" "2001-2010 között" NA NA NA NA NA
"16" "29.8" "33" "1" " 8. kerület, Corvin köz " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "utca, közterület" "1950 elott" "van" NA NA NA NA
"17" "27.99" "47" "1" " 14. kerület, Újváros park 4. " "felújított" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA "nincs megadva" NA NA
"18" "28.3" "40" "2" " 3. kerület, Valéria utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "egy helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" "1950-1980 között" NA NA NA NA NA
"19" "25.9" "36" "1" " 13. kerület, Madarász Viktor utca " "közepes állapotú" "összkomfortos" "nincs megadva" "6" "10" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" "igen" "egy helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "van" "20 000 Ft/hó" "nem vett részt" NA NA
"20" "25.4" "42" "1" " 15. kerület, Illyés Gyula utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "teremgarázs hely - bérelheto" "2001-2010 között" NA "7 000 Ft/hó" NA NA "20 000 Ft/hó"
