"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara" "lakopark_neve"
"1" "49" "46" "2" " 13. kerület, Danubius utca 3. " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "nyugat" "udvari" "14 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "87.22" "63" "2" " 5. kerület, Veres Pálné utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"3" "56" "60" "2" " 5. kerület, Lipótváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"4" "33.5" "68" "3" " 3. kerület, Kerék utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "11 300 Ft/hó" "nem vett részt" NA NA
"5" "25.8" "35" "1" " 15. kerület, Erdokerülo utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "részt vett" NA NA
"6" "59.5" "84" "4" " 13. kerület, Mór utca " "újszeru" "2011" "duplakomfortos" "B" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "kelet" "kertre nézo" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "56.9" "58" "2" " 7. kerület, Rákóczi út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" "van" "24 000 Ft/hó" NA NA NA
"8" "40.1" "55" "2" " 13. kerület, Vág utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"9" "25.2" "35" "1" " 10. kerület, Felsorákos " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület" NA "22 000 Ft/hó" "nincs megadva" NA NA
"10" "29.9" "57" "2" " 3. kerület, Bálint György utca " "felújított" NA "nincs megadva" "nincs megadva" "10" "10" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "dél" "panorámás" "1 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA NA
"11" "49" "84" "3" " 17. kerület, Kvasz András utca " "jó állapotú" "2001-2010 között" "duplakomfortos" "BB" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "északkelet" "udvari" "29 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" "24 997 Ft/hó" NA NA NA
"12" "80" "72" "3" " 13. kerület, Hegedus Gyula utca 93. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "utcai" "16 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "33 000 Ft/hó" NA NA NA
"13" "28.9" "32" "1" " 10. kerület, Gyárdulo " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" "udvari beálló" NA "28 000 Ft/hó" NA NA NA
"14" "39.9" "72" "3" " 15. kerület, Bezsilla Nándor utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" "van" "40 000 Ft/hó" NA NA NA
"15" "29.9" "53" "2" " 10. kerület, Kobánya – Újhegyi lakótelep " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA "28 000 Ft/hó" "nincs megadva" NA NA
"16" "59.9" "45" "1" " 3. kerület, Rómaifürdo " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "2" "3" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" NA "nem" "tetotéri" "teremgarázs hely - benne van az árban" NA NA NA NA NA
"17" "45.9" "35" "1" " 3. kerület, Rómaifürdo " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "2" "3" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "5.9 m²" "nem" "tetotéri" "teremgarázs hely - kötelezo megvenni" NA NA NA "2.99 M Ft" NA
"18" "97.32" "110" "4" " 13. kerület, Kassák Residence " "új építésu" "2018" "duplakomfortos" "nincs megadva" "7" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "15 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA NA NA NA "Kassák Residence"
"19" "87.22" "63" "2" " 5. kerület, Belváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"20" "169.9" "138" "5" " 5. kerület, Váci utca " "felújítandó" NA "duplakomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
