"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "panelprogram" "lakopark_neve" "rezsikoltseg"
"1" "97" "80" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "újszeru" "2018" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "egyéb" "nincs megadva" "nincs megadva" "kelet" "utcai" "90 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "130" "94" "3" " 7. kerület, Belso-Erzsébetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"3" "85" "85" "3" " 11. kerület, Hosszúréti utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "nincs megadva" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "30 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "4 M Ft" NA NA NA
"4" "53" "41" "1" " 6. kerület, Belso-Terézváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"5" "53" "41" "1" " 6. kerület, Belso-Terézváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"6" "23.5" "38" "1" " 13. kerület, Dévényi utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"7" "28.9" "53" "2" " 10. kerület, Kobánya – Újhegyi lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" NA "nincs megadva" NA NA
"8" "78.9" "127" "4" " 14. kerület, Alsórákos " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "padlófutés" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "11.82 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA NA
"9" "43.92" "45" "2" " 13. kerület, Pesti Ház - Átrium 3 " "új építésu" "2019" "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "11.63 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "3.1 M Ft" NA "Pesti Ház - Átrium 3" NA
"10" "109.2" "101" "3" " 7. kerület, Károly körút " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA NA
