"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "erkely" "rezsikoltseg" "parkolohely_ara"
"1" "33.9" "46" "1" " 14. kerület, Füredi park " "felújított" "nincs megadva" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "igen" "egy helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA NA NA
"2" "31.9" "52" "2" " 9. kerület, Napfény utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" NA NA "utca, közterület - fizetos övezet" "1950-1980 között" "4 m²" NA NA
"3" "38" "63" "2" " 8. kerület, Bródy Sándor utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"4" "44.9" "58" "2" " 13. kerület, Kresz Géza utca " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "5" "van" "nincs megadva" "cserépkályha" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950-1980 között" NA "50 000 Ft/hó" NA
"5" "38.5" "65" "2" " 8. kerület, Víg utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"6" "57.5" "86" "3" " 16. kerület, Sasvár utca " "újszeru" "duplakomfortos" "CC" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" NA "önálló garázs - megvásárolható" "2011" "12 m²" "25 000 Ft/hó" "2 M Ft"
"7" "35.9" "58" "2" " 13. kerület, Párkány utca " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nem vett részt" "utca, közterület - fizetos övezet" "1981-2000 között" "4 m²" NA NA
"8" "45.5" "63" "3" " 9. kerület, Dési Huber utca 2. " "újszeru" "nincs megadva" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "házközponti" "van" "igen" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" NA NA "udvari beálló" "1950-1980 között" "8 m²" "27 000 Ft/hó" NA
"9" "42.9" "46" "1" " 8. kerület, Józsefváros – Corvinnegyed " "felújított" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "1950-1980 között" "4 m²" "28 000 Ft/hó" NA
"10" "37" "51" "2" " 3. kerület, Kenyeres utca " "felújítandó" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "kelet" "udvari" "nem" NA NA "utca, közterület - fizetos övezet" "1981-2000 között" NA "20 000 Ft/hó" NA
"11" "33.5" "49" "2" " 13. kerület, Dráva utca 11. " "jó állapotú" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - fizetos övezet" "1981-2000 között" "2 m²" "30 000 Ft/hó" NA
"12" "38" "53" "2" " 11. kerület, Fehérvári út " "felújított" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "igen" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA "3 m²" "15 000 Ft/hó" NA
"13" "34.5" "53" "1" " 13. kerület, Váci út " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "tetotéri" NA "utca, közterület" "1981-2000 között" NA "40 000 Ft/hó" NA
"14" "69" "60" "2" " 14. kerület, Istvánmezei út " "újszeru" "összkomfortos" "AA++" "8" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nincs megadva" "egy helyiségben" "dél" "panorámás" "nem" "nem tetotéri" NA "teremgarázs hely - bérelheto" "2001-2010 között" "6 m²" "25 000 Ft/hó" NA
"15" "52.7" "88" "2" " 16. kerület, Hunyadvár utca " "felújított" "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "van" "nem" "nincs megadva" "nincs megadva" "nincs megadva" "nem" "tetotéri" NA "udvari beálló - benne van az árban" NA "15 m²" NA NA
