"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo"
"1" "36.9" "54" "1" " 11. kerület, Hadak útja " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "34 000 Ft/hó" "igen" "egy helyiségben" "délnyugat" "utcai" "6 m²" "igen" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA NA
"2" "116.7" "109" "4" " 13. kerület, Angyalföld " "nincs megadva" "duplakomfortos" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "47 m²" "nincs megadva" "nem tetotéri" NA "teremgarázs hely" "2018" NA
"3" "68.75" "78" "3" " 13. kerület, Frangepán utca " "újszeru" "komfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "12 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" "2018" NA
"4" "46.1" "83" "2" " 7. kerület, Külso-Erzsébetváros " "felújítandó" "komfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "1950 elott" NA
"5" "83" "83" "3" " 6. kerület, Belso-Terézváros " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA "van"
"6" "53.3" "41" "1" " 5. kerület, Arany János utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" "1950 elott" "nincs"
"7" "24" "35" "2" " 13. kerület, Mohács utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"8" "18.7" "24" "1" " 4. kerület, Tinódi utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "10 000 Ft/hó" "nem" "egy helyiségben" "nyugat" "kertre nézo" NA "igen" "nem tetotéri" NA "utca, közterület - ingyenes" "1950 elott" "nincs"
"9" "32.5" "50" "1" " 13. kerület, Váci út 134. " "felújított" "összkomfortos" "nincs megadva" "6" "9" "van" "3 m-nél alacsonyabb" "távfutés" "27 000 Ft/hó" "nincs megadva" "egy helyiségben" "kelet" "utcai" "2 m²" "nem" NA NA "utca, közterület - fizetos övezet" NA NA
"10" "33.9" "64" "2" " 15. kerület, Nádastó park " "jó állapotú" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "külön helyiségben" "délnyugat" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"11" "49" "63" "1" " 12. kerület, Márvány utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "40 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" NA "van"
"12" "79.9" "102" "4.5" " 6. kerület, Csengery utca 86. " "felújított" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "40 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "1950 elott" NA
"13" "28.3" "43" "2" " 8. kerület, Népszínház utca " "jó állapotú" "nincs megadva" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "10 250 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA
