"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "29.9" "55" "2" " 22. kerület, Bartók Béla út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "észak" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "69.9" "45" "2" " 8. kerület, Leonardo da Vinci utca " "újszeru" "2013" "összkomfortos" "nincs megadva" "2" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "10.8 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" NA NA NA
"3" "12.9" "26" "1" " 19. kerület, Kispest " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "egy helyiségben" "nincs megadva" "udvari" "6 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"4" "26.5" "55" "2" " 21. kerület, Erdosor utca 36. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"5" "25.5" "36" "1" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"6" "145" "94" "4" " 1. kerület, Roham utca 3. " "újszeru" "2001-2010 között" "duplakomfortos" "AA+" "3" "6" "van" "3 m vagy magasabb" "házközponti" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "teremgarázs hely" NA NA "44 103 Ft/hó" NA
"7" "29.9" "36" "1" " 14. kerület, Gyarmat utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "udvari" NA "igen" "nem tetotéri" "udvari beálló" "nincs" NA NA NA
"8" "56" "60" "2" " 5. kerület, Balaton utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "házközponti" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "30 000 Ft/hó" NA
"9" "28.5" "71" "2" " 18. kerület, Csontváry Kosztka Tivadar utca 1. " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "5 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "részt vett" "50 000 Ft/hó" NA
"10" "29.9" "42" "2" " 9. kerület, Középso-Ferencváros " "befejezetlen" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "2 m²" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA NA "10 000 Ft/hó" NA
