"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "lakopark_neve" "erkely" "parkolohely_ara" "panelprogram"
"1" "56" "60" "2" " 5. kerület, Lipótváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"2" "57.9" "60" "2" " 7. kerület, Osvát utca " "felújított" "1950 elott" "összkomfortos" "AA+" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "25 000 Ft/hó" NA NA NA NA
"3" "29.9" "52" "2" " 10. kerület, Vécs köz " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "van" NA NA NA NA NA
"4" "56.9" "85" "3" " 9. kerület, Ülloi út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), elektromos" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - benne van az árban" "van" NA NA NA NA NA
"5" "34.9" "51" "1" " 7. kerület, Dembinszky utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA NA NA
"6" "64.9" "71" "2" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"7" "157.1" "88" "3" " 9. kerület, River Passage " "új építésu" "2021" "összkomfortos" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délkelet" "kertre nézo" "nem" "penthouse" "teremgarázs hely - megvásárolható" NA NA "River Passage" "67.1 m²" "7 M Ft" NA
"8" "77.9" "101" "4" " 6. kerület, Király utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA NA
"9" "72.5" "56" "2" " 9. kerület, River Passage " "új építésu" "2021" "összkomfortos" "nincs megadva" "7" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "River Passage" "11.3 m²" "7 M Ft" NA
"10" "28.9" "53" "2" " 16. kerület, Újmátyásföld " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" NA "utca, közterület - ingyenes" "van" NA NA "5 m²" NA NA
"11" "73.1" "59" "2" " 9. kerület, River Passage " "új építésu" "2021" "összkomfortos" "nincs megadva" "6" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "River Passage" "11.6 m²" "7 M Ft" NA
"12" "69.9" "64" "3" " 6. kerület, Belso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"13" "38.5" "53" "2" " 11. kerület, Etele út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "35 000 Ft/hó" NA NA NA "részt vett"
"14" "15.8" "26" "1" " 19. kerület, Kispest " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "udvari" "igen" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA NA NA
"15" "46.5" "37" "1" " 9. kerület, River Passage " "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "River Passage" "6.8 m²" "7 M Ft" NA
"16" "48.9" "65" "3" " 11. kerület, Kelenföldi lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "van" NA NA "4 m²" NA "részt vett"
"17" "67.4" "57" "2" " 9. kerület, River Passage " "új építésu" "2021" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "River Passage" "4.77 m²" "7 M Ft" NA
"18" "28.7" "51" "2" " 3. kerület, Kaszásduloi lakótelep " "közepes állapotú" NA "nincs megadva" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA "nincs megadva"
"19" "31.5" "61" "2" " 15. kerület, Alkotmány utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" "20 700 Ft/hó" NA "4 m²" NA "részt vett"
"20" "56" "60" "2" " 5. kerület, Lipótváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
