"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "195" "170" "3" " 7. kerület, Belso-Erzsébetváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "északnyugat" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "69.9" "121" "4" " 13. kerület, Csanády utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "27.9" "24" "1" " 7. kerület, Garay utca " "újszeru" "2016" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "5.99 M Ft" NA NA NA
"4" "30.9" "24" "1" " 1. kerület, Krisztinaváros – Naphegy " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "észak" "udvari" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "26.4" "53" "2" " 4. kerület, Aradi utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs" "11 600 Ft/hó" "nincs megadva"
"6" "55.9" "61" "2" " 7. kerület, Király utca 31. " "nincs megadva" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "29.9" "52" "2" " 15. kerület, Kontyfa utca " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" NA "nem" "nincs megadva" "utca, közterület" NA NA NA "nincs megadva"
"8" "132.4" "108" "3" " 5. kerület, Falk Miksa utca " "felújított" NA "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"9" "25.3" "51" "2" " 3. kerület, Hollós Korvin Lajos utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva"
"10" "37.4" "70" "3" " 14. kerület, Alsórákos – Füredi utcai lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "panorámás" "3 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "30 000 Ft/hó" "nem vett részt"
