"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "53.7" "51" "2" " 11. kerület, Péterhegy " "újszeru" "2019" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, megújuló energia" "van" "igen" "külön helyiségben" "délkelet" "kertre nézo" "11 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA
"2" "25.8" "43" "1" " 18. kerület, Lakatos-lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "25.79" "26" "1" " 7. kerület, Cserhát utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "19.5" "29" "1" " 8. kerület, Józsefváros – Magdolnanegyed " "felújítandó" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"5" "85.5" "97" "3" " 2. kerület, Törökvész " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "13 m²" "igen" "nincs megadva" "önálló garázs - megvásárolható" NA NA NA
"6" "22.5" "45" "2" " 15. kerület, Mézeskalács tér 4. " "közepes állapotú" NA "összkomfortos" "nincs megadva" "9" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "igen" "nincs megadva" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "részt vett" NA
"7" "26.49" "40" "2" " 13. kerület, Fiastyúk utca " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" NA NA "8 000 Ft/hó"
"8" "40.9" "58" "1" " 13. kerület, Kárpát utca 7/B " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "20 000 Ft/hó"
"9" "52.9" "51" "4" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"10" "34.5" "47" "1" " 6. kerület, Külso-Terézváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"11" "34.9" "39" "1" " 11. kerület, Kelenföld " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "délkelet" "nincs megadva" "15 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA
"12" "39.8" "55" "2" " 11. kerület, Fehérvári út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA
"13" "28.9" "33" "1" " 10. kerület, Tavas utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "északnyugat" "panorámás" "3 m²" "nem" "nem tetotéri" "udvari beálló - megvásárolható" "0.7 M Ft" NA "35 000 Ft/hó"
"14" "27.99" "46" "2" " 17. kerület, Pesti út 67-81. " "jó állapotú" "1981-2000 között" "összkomfortos" "CC" "5" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "egy helyiségben" "nyugat" "panorámás" NA "nem" "tetotéri" "utca, közterület - ingyenes" NA NA NA
"15" "43.8" "70" "2" " 7. kerület, Rákóczi út " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "dél" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület" NA NA "15 000 Ft/hó"
