"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "parkolohely_ara"
"1" "46.9" "68" "3" " 13. kerület, Népfürdo utca " "felújított" "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "40 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "52.9" "59" "2" " 7. kerület, Százház utca " "újszeru" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "4 m²" "nem" "nem tetotéri" NA "nincs megadva" "2001-2010 között" NA NA
"3" "99" "105" "3" " 1. kerület, Víziváros – Váralja " "jó állapotú" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "1981-2000 között" NA NA
"4" "48" "59" "2" " 11. kerület, Beregszász út " "felújítandó" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön helyiségben" "nincs megadva" "panorámás" "7 m²" "nem" "nem tetotéri" NA "önálló garázs - benne van az árban" "1981-2000 között" "nincs" NA
"5" "20" "36" "1" " 8. kerület, Szerdahelyi utca 16. " "felújított" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"6" "46.8" "75" "2" " 16. kerület, Monoki utca 71. " "felújítandó" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "8 m²" "igen" "nem tetotéri" NA "önálló garázs - benne van az árban" "1950-1980 között" "nincs" NA
"7" "24.5" "35" "1" " 13. kerület, Fiastyúk utca 39. " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "nyugat" "utcai" "1 m²" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950-1980 között" "nincs" NA
"8" "31" "55" "2" " 22. kerület, Mézesfehér utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"9" "25.9" "26" "1" " 14. kerület, Zászlós utca " "nincs megadva" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" NA "utca, közterület" "2019" NA NA
"10" "32.9" "47" "2" " 20. kerület, Bíró Mihály utca " "újszeru" "összkomfortos" "nincs megadva" "nincs megadva" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "25 000 Ft/hó" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2001-2010 között" NA "3.5 M Ft"
