"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely"
"1" "32.99" "46" "2" " 14. kerület, Rákosfalva " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "25 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA
"2" "24" "56" "2" " 16. kerület, Linda tér " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "35 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"3" "37" "49" "1" " 13. kerület, Visegrádi utca 59-61. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "9 900 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA
"4" "27.7" "49" "2" " 10. kerület, Doba utca " "közepes állapotú" NA "összkomfortos" "FF" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor), cserépkályha" NA NA "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület - ingyenes" NA
"5" "45" "33" "2" " 5. kerület, Hercegprímás utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "9 000 Ft/hó" "igen" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" NA "utca, közterület" NA
"6" "31.9" "56" "2" " 14. kerület, Szentmihályi út " "felújítandó" NA "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "igen" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA
"7" "73.5" "86" "2" " 6. kerület, Belso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" NA NA "nincs megadva" "nincs megadva" "észak" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"8" "19.9" "28" "1" " 10. kerület, Kápolna utca " "felújítandó" NA "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA NA "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" NA "utca, közterület" NA
"9" "37.5" "38" "1" " 2. kerület, Alvinci út 28. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "12 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"10" "43.5" "69" "2" " 9. kerület, Ülloi út " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" NA "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nem" "legfelso emelet, nem tetotéri" NA "nincs megadva" NA
"11" "84.9" "117" "4" " 2. kerület, Szép Juhászné út " "jó állapotú" "2011" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nincs megadva" "külön és egyben is" "dél" "panorámás" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "10 m²"
"12" "45" "51" "2" " 14. kerület, Szobránc utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"13" "64.9" "41" "3" " 5. kerület, Sas utca 20-22 " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "20 000 Ft/hó" "nem" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA
"14" "53.99" "65" "3" " 7. kerület, Klauzál utca 23. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "22 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA
"15" "17.99" "35" "1" " 18. kerület, Havanna-lakótelep " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "dél" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA
"16" "52" "70" "3" " 6. kerület, Belso-Terézváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "van" NA "nincs megadva" "külön helyiségben" "dél" "udvari" "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" NA
"17" "149.9" "102" "4" " 2. kerület, Bem József tér " "felújított" "2019" "duplakomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"18" "46.9" "86" "3" " 17. kerület, Surányi Ferenc utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" NA "udvari beálló - benne van az árban" "3 m²"
"19" "55.9" "49" "1" " 13. kerület, Angyalföld – Loportárdulo " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "elektromos" "van" NA "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA
