"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "parkolas" "epites_eve" "legkondicionalo" "tetoter" "erkely" "rezsikoltseg" "panelprogram"
"1" "26.9" "57" "2" " 20. kerület, Wesselényi utca 156. " "jó állapotú" "nincs megadva" "nincs megadva" "3" "4" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "62.9" "97" "3" " 9. kerület, Lónyay utca 36. " "jó állapotú" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "udvari" "nem" "utca, közterület - fizetos övezet" "1950 elott" "nincs" "nem tetotéri" NA NA NA
"3" "38.5" "39" "1" " 11. kerület, Hegyteto utca " "nincs megadva" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "dél" "kertre nézo" "nem" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "nem tetotéri" "3.4 m²" NA NA
"4" "39.9" "30" "1" " 5. kerület, Kossuth Lajos utca " "felújított" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "utca, közterület" NA NA "nem tetotéri" NA "20 000 Ft/hó" NA
"5" "26.5" "33" "1" " 8. kerület, Magdolna utca " "jó állapotú" "összkomfortos" "AA+" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "utcai" "nem" "utca, közterület - fizetos övezet" "1950-1980 között" "nincs" "nem tetotéri" NA "20 000 Ft/hó" NA
"6" "47.9" "56" "2" " 13. kerület, Reitter Ferenc utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "délkelet" "udvari" "igen" "udvari beálló - megvásárolható" NA NA "nem tetotéri" "6 m²" "30 000 Ft/hó" NA
"7" "31.99" "24" "1" " 6. kerület, Zichy Jeno utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "utca, közterület" NA NA "nem tetotéri" NA NA NA
"8" "37" "53" "2" " 4. kerület, Lebstück Mária utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA "13 000 Ft/hó" "nincs megadva"
"9" "30.99" "56" "2" " 10. kerület, Szolohegy utca " "felújított" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "utca, közterület - ingyenes" "1950-1980 között" "van" NA NA NA NA
"10" "28.9" "57" "2" " 3. kerület, Szilke utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "délnyugat" "utcai" "nem" "utca, közterület - ingyenes" "1981-2000 között" "nincs" "nem tetotéri" "1 m²" NA "nem vett részt"
"11" "42.9" "56" "2" " 14. kerület, Pitvar utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "nem tetotéri" NA "45 000 Ft/hó" NA
"12" "64.9" "92" "4" " 10. kerület, Mongol utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA NA NA
"13" "65" "89" "3" " 2. kerület, Frankel Leó út " "felújítandó" "komfortos" "GG" "3" "5" "nincs" "3 m vagy magasabb" "cserépkályha" "igen" "külön helyiségben" "nyugat" "utcai" "nem" "utca, közterület - fizetos övezet" "1950 elott" "nincs" "nem tetotéri" NA "22 500 Ft/hó" NA
"14" "39.5" "50" "2" " 8. kerület, Rákóczi tér " "újszeru" "nincs megadva" "AA+" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2019" "van" "nincs megadva" "3 m²" "15 000 Ft/hó" NA
"15" "45.9" "68" "2" " 8. kerület, Kun utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "utcai" "nincs megadva" "utca, közterület" "1950 elott" "nincs" "nem tetotéri" NA NA NA
"16" "20.9" "36" "1" " 8. kerület, Delej utca " "felújítandó" "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "udvari beálló" "1950-1980 között" NA "nem tetotéri" NA NA NA
