"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "erkely" "rezsikoltseg" "parkolohely_ara"
"1" "29" "55" "2" " 15. kerület, Zsókavár utca 50. " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "részt vett" "utca, közterület" NA NA NA NA
"2" "79.9" "77" "2" " 3. kerület, Nánási út " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "2001-2010 között" "42 m²" NA NA
"3" "58.9" "79" "2" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" "1981-2000 között" NA NA NA
"4" "82.5" "61" "3" " 3. kerület, Királyok útja " "újszeru" "luxus" "nincs megadva" "3" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "északkelet" "panorámás" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "2001-2010 között" "20 m²" NA NA
"5" "119.15" "91" "3" " 11. kerület, Madárhegy " "nincs megadva" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "megújuló energia" NA "nem" "nincs megadva" "délnyugat" "panorámás" "nem" "nem tetotéri" NA "teremgarázs hely - benne van az árban" "2019" "61 m²" NA NA
"6" "135.95" "121" "4" " 11. kerület, Madárhegy " "nincs megadva" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "megújuló energia" NA "nem" "nincs megadva" "délnyugat" "panorámás" "igen" "nem tetotéri" NA "teremgarázs hely - benne van az árban" "2019" "41 m²" NA NA
"7" "77.15" "77" "3" " 11. kerület, Madárhegy " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "megújuló energia" NA "nem" "nincs megadva" "délnyugat" "panorámás" "igen" "nem tetotéri" NA "teremgarázs hely - benne van az árban" "2019" "50 m²" NA NA
"8" "53" "76" "2" " 7. kerület, Peterdy utca " "közepes állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"9" "37.9" "58" "2" " 22. kerület, Rózsakert utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" NA NA NA
"10" "33.5" "28" "1" " 2. kerület, Víziváros " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA NA
"11" "69.99" "75" "3" " 9. kerület, Lenhossék utca " "újszeru" "luxus" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "nincs megadva" "udvari" "igen" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2001-2010 között" "7 m²" "20 000 Ft/hó" "5 M Ft"
"12" "90" "102" "3" " 6. kerület, Bajcsy-Zsilinszky út " "felújított" "duplakomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület" "1950-1980 között" NA "25 000 Ft/hó" NA
"13" "73" "74" "3" " 5. kerület, Királyi Pál utca " "befejezetlen" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA NA
"14" "47" "50" "2" " 8. kerület, Pál utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "egy helyiségben" "kelet" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület" "1950 elott" NA NA NA
"15" "33.5" "59" "2" " 14. kerület, Szentmihályi út " "jó állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "1981-2000 között" "4 m²" NA NA
"16" "36.9" "44" "1" " 14. kerület, Alsórákos " "felújított" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA NA NA
"17" "32" "56" "2" " 8. kerület, Józsefváros – Csarnoknegyed " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
