"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "58.6" "40" "2" " 1. kerület, Szalag utca 6. " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "udvari" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "28.9" "56" "2" " 13. kerület, Béke utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "9" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "dél" "utcai" NA "nem" NA "utca, közterület - fizetos övezet" "nincs" NA NA NA
"3" "38.9" "69" "3" " 3. kerület, Miklós utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "kelet" "panorámás" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület" NA "11 230 Ft/hó" "nem vett részt" NA
"4" "26.9" "42" "1" " 14. kerület, Nagy Lajos király útja " "közepes állapotú" "1950-1980 között" "komfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "panorámás" "1 m²" "nem" "nem tetotéri" "utca, közterület" "nincs" "14 000 Ft/hó" NA NA
"5" "25.5" "34" "1" " 14. kerület, Gyarmat utca " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA
"6" "43.4" "56" "1" " 12. kerület, Greguss utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "udvari" NA "nem" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "69.9" "37" "1" " 8. kerület, Corvin sétány " "nincs megadva" "2019" "komfortos" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "8.45 m²" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"8" "32.9" "72" "3" " 21. kerület, Csepel-Csillagtelep – Völgy utcai lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" "40 000 Ft/hó" "részt vett" NA
"9" "45.9" "69" "2" " 13. kerület, Fáy utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nyugat" "kertre nézo" NA "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA NA "3 M Ft"
"10" "30" "53" "2" " 4. kerület, Árpád út " "jó állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "panorámás" "6 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "35 000 Ft/hó" "részt vett" NA
