"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "panelprogram"
"1" "50.5" "57" "2" " 11. kerület, Olajbogyó utca 6. " "újszeru" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel, hoszivattyú" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "5.2 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA
"2" "45" "71" "2" " 6. kerület, Szinyei Merse Pál utca 3. " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "igen" "nincs megadva" "utca, közterület" "1950 elott" NA NA
"3" "81.9" "49" "1" " 5. kerület, Bécsi utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA
"4" "29.9" "34" "1" " 7. kerület, Kertész utca 46. " "közepes állapotú" "összkomfortos" "DD" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "kelet" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA
"5" "29" "56" "2" " 15. kerület, Szilas park " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "külön helyiségben" "dél" "kertre nézo" "2 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "2001-2010 között" "7 500 Ft/hó" NA
"6" "56.85" "71" "3" " 13. kerület, Angyalföld " "nincs megadva" "duplakomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön és egyben is" "dél" "utcai" "6.6 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2019" NA NA
"7" "35" "64" "3" " 10. kerület, Korösi Csoma Sándor út " "közepes állapotú" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés, házközponti" NA "igen" "külön helyiségben" "nincs megadva" "panorámás" "2 m²" "nincs megadva" NA "önálló garázs - benne van az árban" NA NA NA
"8" "38.81" "49" "2" " 13. kerület, Angyalföld " "nincs megadva" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2019" NA NA
"9" "47.6" "74" "3" " 11. kerület, Gazdagréti lakótelep " "felújított" "összkomfortos" "nincs megadva" "7" "több mint 10" "van" "nincs megadva" "távfutés egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "1 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" NA "részt vett"
"10" "38.29" "41" "2" " 9. kerület, Nádasdy utca " "nincs megadva" "nincs megadva" "nincs megadva" "2" "8" "van" "3 m-nél alacsonyabb" "nincs megadva" "van" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" NA NA
