"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram"
"1" "112.9" "131" "4" " 2. kerület, Pasarét " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs" "20 000 Ft/hó" "nem" "külön és egyben is" "délnyugat" "panorámás" "4.5 m²" "nem" "nincs megadva" "udvari beálló - benne van az árban" NA NA
"2" "44" "45" "2" " 10. kerület, Bánya utca 6. " "újszeru" "2001-2010 között" "összkomfortos" "AA+" "földszint" "3" "van" "3 m-nél alacsonyabb" "padlófutés, megújuló energia" NA "10 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "21 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "2 M Ft" NA
"3" "56" "59" "2" " 8. kerület, Dugonics utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "igen" "egy helyiségben" "nincs megadva" "utcai" "9.48 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"4" "24.9" "56" "2" " 16. kerület, Sándor utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "igen" "nincs megadva" "udvari beálló" NA NA
"5" "39.9" "68" "2" " 10. kerület, Hatház utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "35 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület" NA "nem vett részt"
"6" "76.6" "85" "3" " 11. kerület, Gazdagrét " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "20 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"7" "23.9" "26" "1" " 3. kerület, Podolin utca 10. " "felújított" "1950 elott" "összkomfortos" "A+" "földszint" "2" "nincs" "3 m vagy magasabb" "elektromos" "nincs" "5 499 Ft/hó" "nem" "egy helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"8" "69.9" "90" "3" " 7. kerület, Belso-Erzsébetváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nem" "nincs megadva" "délkelet" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület" NA NA
"9" "89" "127" "4" " 7. kerület, Belso-Erzsébetváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "házközponti" NA NA "nem" "nincs megadva" "nyugat" "kertre nézo" "8 m²" "nem" "tetotéri" "utca, közterület" NA NA
"10" "45" "70" "2" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"11" "45" "80" "3" " 3. kerület, Óbuda – Filatorigát " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "távfutés" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva"
"12" "75" "89" "3" " 12. kerület, Krisztinaváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "távfutés" NA NA "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nem" "nincs megadva" "utca, közterület" NA NA
"13" "79.9" "74" "3" " 2. kerület, Vérhalom " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "külön és egyben is" "kelet" "udvari" "5 m²" "nincs megadva" "nem tetotéri" "önálló garázs - kötelezo megvenni" "5 M Ft" NA
"14" "39.9" "77" "2" " 7. kerület, Külso-Erzsébetváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"15" "80" "78" "3" " 12. kerület, Kútvölgy " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nincs megadva" "külön helyiségben" "dél" "panorámás" "21 m²" "nem" "nincs megadva" "teremgarázs hely" NA NA
"16" "37.5" "32" "1" " 8. kerület, Corvin sétány " "jó állapotú" "2011" "összkomfortos" "nincs megadva" "6" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "20 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "panorámás" "8 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"17" "49.95" "50" "2" " 6. kerület, Aradi utca 14. " "újszeru" "2011" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" NA "igen" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "8 M Ft" NA
"18" "27.5" "47" "2" " 15. kerület, Szent Korona útja 14. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "8 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "kertre nézo" NA "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"19" "44" "66" "2" " 8. kerület, Kenyérmezo utca 8. " "jó állapotú" "1950 elott" "duplakomfortos" "GG" "4" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "14 890 Ft/hó" "nem" "egy helyiségben" "délnyugat" "udvari" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA
"20" "199" "462" "15" " 14. kerület, Egressy út 21. " "jó állapotú" NA "duplakomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "van" NA "igen" "külön és egyben is" "nincs megadva" "panorámás" "330 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA
