"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "erkely" "parkolohely_ara" "rezsikoltseg"
"1" "30.2" "57" "2" " 3. kerület, Szilke utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "45" "70" "2" " 7. kerület, Sajó utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"3" "178" "430" "5" " 2. kerület, Budakeszierdo " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "igen" "nincs megadva" NA "nincs megadva" NA NA NA NA
"4" "56.09" "80" "3" " 13. kerület, Angyalföld " "újszeru" "2019" "nincs megadva" "nincs megadva" "5" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "tetotéri" NA "teremgarázs hely - megvásárolható" "van" "6.2 m²" "3.8 M Ft" NA
"5" "32.5" "57" "2" " 8. kerület, Teleki László tér " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" NA NA NA
"6" "45.1" "44" "2" " 9. kerület, Vendel utca " "újszeru" NA "összkomfortos" "nincs megadva" "2" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA "10 m²" NA "12 000 Ft/hó"
"7" "68" "60" "2" " 1. kerület, Víziváros – Váralja " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" NA "utca, közterület" "nincs" "5 m²" NA "16 800 Ft/hó"
"8" "36" "56" "2" " 16. kerület, Kerepesi út " "felújított" "1950-1980 között" "összkomfortos" "D" "1" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" "van" "4 m²" NA "32 000 Ft/hó"
"9" "35.9" "42" "1" " 3. kerület, Óbuda-Óváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "nincs megadva" "nyugat" "kertre nézo" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA NA
"10" "37.81" "50" "1" " 13. kerület, Frangepán utca " "nincs megadva" NA "komfortos" "nincs megadva" "1" "8" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
