"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram"
"1" "98.5" "147" "4" " 12. kerület, Csörsz utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "6" "van" "nincs megadva" "gáz (konvektor)" "34 999 Ft/hó" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "12 m²" "nem" "nem tetotéri" "utca, közterület" NA NA
"2" "39.5" "51" "1" " 14. kerület, Tábornok utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "délnyugat" "utcai" "1 m²" "nem" "nem tetotéri" "utca, közterület" "nincs" NA
"3" "29.9" "49" "2" " 7. kerület, István utca 45. " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "elektromos" "10 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA
"4" "83" "74" "3" " 2. kerület, Törökvész " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"5" "54.9" "86" "2" " 7. kerület, Dob utca 82. " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"6" "32" "57" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "10" "van" "nincs megadva" "távfutés, távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA "nincs megadva"
"7" "34.9" "49" "2" " 14. kerület, Szugló utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nem" "külön helyiségben" "nincs megadva" "udvari" "3.96 m²" "igen" NA "udvari beálló - benne van az árban" "nincs" NA
"8" "30" "31" "1" " 5. kerület, Semmelweis utca 23. " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor), elektromos" "15 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "igen" "nem tetotéri" "utca, közterület" "nincs" NA
"9" "27" "33" "1" " 13. kerület, Lehel utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA
"10" "63" "60" "2" " 2. kerület, Völgy utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "4" "nincs" "nincs megadva" "gáz (cirko), padlófutés" NA "nem" "külön és egyben is" "dél" "udvari" "12 m²" "igen" "nincs megadva" "udvari beálló - benne van az árban" "nincs" NA
