"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "lakopark_neve" "parkolohely_ara" "legkondicionalo" "rezsikoltseg"
"1" "22.9" "38" "1" " 20. kerület, Erzsébetfalva " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "38.99" "42" "1" " 8. kerület, Práter Park 2. " "új építésu" "2020" "nincs megadva" "nincs megadva" "4" "8" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "utcai" "4.5 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "Práter Park 2." "4 M Ft" NA NA
"3" "39.99" "41" "1" " 8. kerület, Práter Park 2. " "új építésu" "2020" "összkomfortos" "nincs megadva" "6" "8" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "7.69 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "Práter Park 2." "4 M Ft" NA NA
"4" "42.54" "44" "1" " 6. kerület, Nagymezo utca " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"5" "37.9" "66" "3" " 14. kerület, Alsórákos – Mogyoródi–Jerney úti lakótelep " "nincs megadva" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"6" "39.9" "57" "2" " 8. kerület, Tolnai Lajos utca 5. " "felújított" NA "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" "2 m²" "nincs megadva" "legfelso emelet, nem tetotéri" NA "nincs megadva" NA NA "van" NA
"7" "37.9" "44" "2" " 3. kerület, Kolostor út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "északkelet" "kertre nézo" NA "igen" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA "nincs" "10 000 Ft/hó"
"8" "30.7" "30" "1" " 14. kerület, Róna utca " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "4 m²" "igen" "nincs megadva" NA "nincs megadva" NA NA NA "20 000 Ft/hó"
"9" "182" "229" "3.5" " 2. kerület, Lipótmezo " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "246 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"10" "42.8" "48" "2" " 9. kerület, Ülloi út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "északnyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA "nincs" "12 000 Ft/hó"
