"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "parkolohely_ara" "rezsikoltseg"
"1" "36.5" "59" "2" " 14. kerület, Szentmihályi út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "kelet" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA
"2" "54.99" "75" "4" " 13. kerület, Vizafogó lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"3" "44" "56" "2" " 12. kerület, Krisztinaváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északnyugat" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"4" "34.9" "71" "3" " 4. kerület, István út 5. " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "nyugat" "utcai" "3 m²" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA NA
"5" "37.9" "51" "2" " 11. kerület, Etele út 28. " "felújított" NA "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület" NA NA
"6" "155" "111" "3" " 11. kerület, Gellérthegy " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "dél" "panorámás" "15 m²" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - benne van az árban" NA NA
"7" "89" "62" "2" " 5. kerület, Falk Miksa utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"8" "129" "102" "4" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"9" "99.9" "78" "3" " 5. kerület, Lipótváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"10" "164.5" "130" "3" " 7. kerület, Külso-Erzsébetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "7 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
