"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "panelprogram" "legkondicionalo" "lakopark_neve"
"1" "65" "158" "6" " 10. kerület, Korösi Csoma sétány " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "162.15" "159" "3" " 13. kerület, Párkány utca " "nincs megadva" "2014" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "120 m²" NA NA NA NA
"3" "42.8" "52" "2" " 3. kerület, Rókavár utca " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA NA
"4" "26.49" "36" "1" " 13. kerület, Angyalföld – Fiastyúk utcai lakótelep " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "13 000 Ft/hó" NA NA NA
"5" "28.6" "54" "2" " 4. kerület, Szigeti József utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "félemelet" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "3 m²" "34 000 Ft/hó" "nincs megadva" NA NA
"6" "29.9" "50" "2" " 4. kerület, Izzó utca 9. " "közepes állapotú" "1981-2000 között" "összkomfortos" "AA+" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "20 000 Ft/hó" NA "nincs" NA
"7" "43.9" "108" "2" " 8. kerület, Józsefváros – Magdolnanegyed " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"8" "39.9" "40" "2" " 3. kerület, Pusztakúti út " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "északnyugat" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" "7.38 m²" NA NA NA NA
"9" "78" "73" "3" " 13. kerület, Meder utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "18 m²" NA NA NA NA
"10" "49.9" "66" "2" " 6. kerület, Külso-Terézváros " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"11" "37.1" "43" "1" " 10. kerület, Tulipán Lakókert " "új építésu" "2021" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, padlófutés" "nincs megadva" "külön helyiségben" "északnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "28.5 m²" NA NA NA "Tulipán Lakókert"
"12" "51.6" "63" "3" " 10. kerület, Tulipán Lakókert " "új építésu" "2021" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, padlófutés" "nincs megadva" "külön helyiségben" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "32.6 m²" NA NA NA "Tulipán Lakókert"
"13" "51.6" "63" "3" " 10. kerület, Tulipán Lakókert " "új építésu" "2021" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, padlófutés" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" "32.6 m²" NA NA NA "Tulipán Lakókert"
"14" "65" "88" "2" " 7. kerület, Szövetség utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "északnyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA "van" NA
"15" "37.1" "43" "1" " 10. kerület, Tulipán Lakókert " "új építésu" "2021" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, padlófutés" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" "28.5 m²" NA NA NA "Tulipán Lakókert"
