"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "legkondicionalo" "parkolohely_ara"
"1" "66.8" "101" "4" " 10. kerület, Cserkesz Lakóház " "Cserkesz Lakóház" "új építésu" "2020" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "10.5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "44" "56" "2" " 12. kerület, Greguss utca " NA "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északnyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" "9 000 Ft/hó" NA NA NA
"3" "53.1" "81" "3" " 10. kerület, Cserkesz Lakóház " "Cserkesz Lakóház" "új építésu" "2020" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "5.82 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "41.5" "58" "2.5" " 17. kerület, Ököl utca " NA "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "30 000 Ft/hó" NA NA NA
"5" "24.9" "35" "1" " 10. kerület, Cserkesz Lakóház " "Cserkesz Lakóház" "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "dél" "nincs megadva" "6.38 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "41" "62" "2" " 10. kerület, Cserkesz Lakóház " "Cserkesz Lakóház" "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "5.4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "34" "77" "3" " 21. kerület, Völgy utca " NA "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" NA NA
"8" "38" "74" "3" " 4. kerület, Petofi utca " NA "jó állapotú" NA "nincs megadva" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA "nem vett részt" NA NA
"9" "72" "96" "3" " 1. kerület, Víziváros – Váralja " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"10" "49.9" "75" "2" " 7. kerület, Középso-Erzsébetváros " NA "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"11" "57.9" "43" "1" " 13. kerület, Pannónia utca " NA "újszeru" "2001-2010 között" "összkomfortos" "CC" "7" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "északkelet" "kertre nézo" "4 m²" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "16 000 Ft/hó" NA "van" "5 M Ft"
"12" "53.99" "60" "3" " 14. kerület, Lipótvár utca " NA "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "3 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" NA NA NA "3 M Ft"
"13" "39" "33" "1" " 7. kerület, Dembinszky utca " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "25 000 Ft/hó" NA "van" NA
"14" "89.5" "112" "4" " 8. kerület, Józsefváros – Palotanegyed " NA "jó állapotú" NA "duplakomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nem" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA NA NA
"15" "42.5" "55" "2" " 14. kerület, Alsórákos " NA "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "utcai" "10 m²" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "1 000 Ft/hó" NA "nincs" NA
"16" "80" "85" "2" " 13. kerület, Újlipótváros " NA "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "2" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nincs megadva" "nincs megadva" "30 000 Ft/hó" NA "van" NA
"17" "49.9" "51" "2" " 6. kerület, Bajcsy-Zsilinszky út " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "31.9" "46" "1" " 14. kerület, Alsórákos " NA "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA NA
"19" "52.9" "60" "2" " 13. kerület, Angyalföld " NA "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "udvari" "7.31 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"20" "45" "43" "2" " 6. kerület, Külso-Terézváros " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "10 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
