"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "parkolohely_ara"
"1" "28" "51" "2" " 3. kerület, Madzsar József utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "12 000 Ft/hó" "nem" "egy helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA
"2" "26.2" "58" "3" " 17. kerület, Gyökér utca " "felújítandó" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "25 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"3" "64.9" "58" "2" " 12. kerület, Kék Golyó utca 14. " "felújított" "1950 elott" "luxus" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" NA "nem" "egy helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "4 m²" NA
"4" "29.9" "54" "2" " 3. kerület, Szentendrei út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "35 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - fizetos övezet" "6 m²" NA
"5" "33.9" "67" "2" " 18. kerület, Krepuska Géza-telep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs" NA "nem" "külön helyiségben" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA NA
"6" "50" "72" "3" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "összkomfortos" "AA" "földszint" "5" "van" "3 m vagy magasabb" "egyéb kazán, falfutés" NA NA "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" NA "utca, közterület" NA NA
"7" "39.9" "43" "2" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nincs megadva" "egy helyiségben" "dél" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület" NA NA
"8" "83.5" "97" "4" " 11. kerület, Madárhegy " "nincs megadva" NA "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "igen" "külön és egyben is" "délnyugat" "panorámás" "nem" "nem tetotéri" NA "teremgarázs hely - kötelezo megvenni" "25 m²" "4 M Ft"
"9" "27.39" "53" "2" " 4. kerület, Nyár utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" NA
"10" "34.5" "51" "2" " 3. kerület, Vízimolnár utca 4. " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "30 000 Ft/hó" "igen" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "4 m²" NA
"11" "200" "160" "2" " 7. kerület, Madách Imre tér " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "2" "7" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "van" NA "igen" "külön helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA
"12" "30.9" "43" "2" " 13. kerület, Rokolya utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" NA NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"13" "99" "68" "2" " 5. kerület, Károly körút 24. " "felújított" "1950 elott" "duplakomfortos" "AA++" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor), elektromos" "van" "30 000 Ft/hó" "nem" "külön és egyben is" "északkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "5 m²" NA
"14" "34.9" "27" "1" " 7. kerület, Kazinczy utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"15" "34.9" "53" "1" " 9. kerület, Ülloi út 111. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (konvektor), hoszivattyú" "van" "9 500 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA
"16" "59.78" "62" "3" " 11. kerület, Madárhegy " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "2" "van" "3 m-nél alacsonyabb" "gázkazán" NA NA "igen" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "18 m²" "10.45 M Ft"
"17" "29.5" "51" "2" " 8. kerület, Szigony utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "5 m²" NA
"18" "69.9" "79" "2" " 5. kerület, Nádor utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
