"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "58" "114" "3" " 8. kerület, Práter utca 59. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "64.9" "90" "2" " 12. kerület, Városmajor utca " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "6 m²" NA NA NA NA
"3" "59.9" "66" "1" " 11. kerület, Stoczek utca " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "4 m²" NA NA NA NA
"4" "54.15" "43" "2" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "újszeru" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2018" "4 m²" "van" NA NA NA
"5" "85.54" "68" "3" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "újszeru" "nincs megadva" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2018" "4 m²" "van" "5 M Ft" NA NA
"6" "24.9" "47" "1" " 13. kerület, Rokolya utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA NA
"7" "35" "54" "3" " 11. kerület, Regos köz " "közepes állapotú" "nincs megadva" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "1 m²" "nincs" NA "nincs megadva" NA
"8" "17.9" "25" "1" " 8. kerület, Auróra utca 39. " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA "10 Ft/hó"
"9" "43.9" "55" "2" " 2. kerület, Margit körút " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "észak" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA NA
"10" "80.5" "103" "3" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "jó állapotú" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950 elott" "4 m²" NA NA NA "22 000 Ft/hó"
