"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "legkondicionalo" "parkolohely_ara" "epites_eve" "rezsikoltseg"
"1" "24.7" "47" "2" " 15. kerület, Páskomliget utca " "jó állapotú" "nincs megadva" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem vett részt" "utca, közterület" NA NA NA NA NA
"2" "29.95" "49" "1" " 14. kerület, Örs vezér tere " "felújított" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" "3 m²" NA NA NA NA
"3" "25.9" "33" "1" " 13. kerület, Forgách utca " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" NA "udvari beálló - bérelheto" NA "nincs" "2 000 Ft/hó" NA NA
"4" "45" "80" "3" " 3. kerület, Juhász Gyula utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA NA NA NA
"5" "250" "146" "3" " 1. kerület, Úri utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA NA NA NA
"6" "49.9" "57" "2" " 11. kerület, Bogdánfy utca " "felújított" "összkomfortos" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "4 m²" "nincs" NA "1950-1980 között" "24 999 Ft/hó"
"7" "59.9" "52" "1" " 5. kerület, Veres Pálné utca 12. " "felújított" "összkomfortos" "nincs megadva" "félemelet" "5" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "van" NA "1950 elott" "45 000 Ft/hó"
"8" "35" "69" "2" " 18. kerület, Péteri út " "felújított" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, elektromos" "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "4 m²" NA NA "1981-2000 között" NA
"9" "18.9" "28" "1" " 10. kerület, Vörösdinka utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"10" "22.9" "20" "1" " 6. kerület, Kmety György utca 18. " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "nincs" NA "1950 elott" "20 000 Ft/hó"
