"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "46" "65" "2" " 7. kerület, Középso-Erzsébetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "60.53" "101" "4" " 18. kerület, Nemes utca " "befejezetlen" NA "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "17.5 m²" "3 M Ft" NA NA
"3" "37.9" "39" "1" " 2. kerület, Vérhalom " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "utca, közterület" NA "12 m²" NA NA NA
"4" "39.9" "67" "3" " 3. kerület, Matróz utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés" "nem" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" "2 m²" NA "részt vett" NA
"5" "35.9" "50" "2" " 14. kerület, Répásy Mihály utca 1. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"6" "45.22" "71" "2" " 18. kerület, Nemes utca " "befejezetlen" NA "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA "3 M Ft" NA NA
"7" "25.89" "40" "1" " 14. kerület, Dózsa György út " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA
"8" "20.99" "35" "1" " 8. kerület, Lujza utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "10 000 Ft/hó"
"9" "27.5" "79" "2" " 20. kerület, Kossuthfalva " "közepes állapotú" "1950-1980 között" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko), cserépkályha" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA NA
"10" "64" "102" "3" " 7. kerület, Izabella utca " "felújítandó" NA "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
