"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely"
"1" "32.3" "38" "1" " 7. kerület, Hernád utca " "nincs megadva" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "35.9" "68" "3" " 4. kerület, Erdosor út " "jó állapotú" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nem" NA "utca, közterület - ingyenes" "1981-2000 között" "nincs" "40 000 Ft/hó" "10 m²"
"3" "115" "72" "2" " 6. kerület, Csengery utca " "újszeru" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2001-2010 között" NA NA NA
"4" "20.5" "39" "1" " 4. kerület, Temesvári utca " "jó állapotú" "összkomfortos" "CC" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA "8 083 Ft/hó" NA
"5" "24.9" "28" "1" " 14. kerület, Erzsébet királyné útja " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "igen" "nincs megadva" "utca, közterület" "1981-2000 között" "van" NA NA
"6" "51" "101" "2" " 11. kerület, Gellérthegy " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"7" "29.7" "52" "1" " 8. kerület, Szeszgyár utca " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA
"8" "130" "120" "3" " 11. kerület, Bartók Béla út " "újszeru" "luxus" "nincs megadva" "félemelet" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nem" "külön és egyben is" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" "van" NA NA
"9" "98" "100" "4" " 5. kerület, Bajcsy-Zsilinszky út " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "padlófutés" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "34" "58" "2" " 8. kerület, Dankó utca 42. " "jó állapotú" "összkomfortos" "DD" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"11" "72" "90" "3" " 7. kerület, Kertész utca 20. " "felújított" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "nincs" "40 000 Ft/hó" "3 m²"
"12" "40" "64" "2" " 17. kerület, Sima utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "33.9" "58" "2" " 20. kerület, Kuruc utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"14" "26.5" "39" "1" " 9. kerület, Távíró utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "kelet" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "22 000 Ft/hó" "4 m²"
"15" "26.8" "34" "1" " 7. kerület, Alsó erdosor " "közepes állapotú" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "legfelso emelet, nem tetotéri" "utca, közterület" NA "van" NA NA
"16" "61.8" "59" "2" " 5. kerület, Arany János utca " "felújított" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "délnyugat" "udvari" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA NA
"17" "89" "84" "3" " 7. kerület, Király utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA
"18" "66.1" "103" "3" " 8. kerület, Százados út " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"19" "66.1" "103" "3" " 8. kerület, Századosnegyed " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"20" "36.9" "43" "1" " 14. kerület, Herminamezo " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA "5 m²"
