"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "legkondicionalo" "parkolohely_ara" "panelprogram"
"1" "65.9" "86" "2" " 7. kerület, Rákóczi út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "79" "73" "2" " 12. kerület, Hajnóczy József utca " "felújított" NA "luxus" "nincs megadva" "3" "6" "van" "nincs megadva" "gáz (cirko)" "igen" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" "20 000 Ft/hó" NA NA NA NA
"3" "103.5" "106" "4" " 5. kerület, Veres Pálné utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "8 m²" NA NA NA
"4" "59.9" "75" "3" " 22. kerület, Rózsakert utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "kelet" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely - kötelezo megvenni" NA "21 m²" "van" "8 M Ft" NA
"5" "54" "60" "3" " 1. kerület, Csalogány utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"6" "51.5" "53" "2" " 7. kerület, Erzsébet körút " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "39" "67" "3" " 20. kerület, Ferenc utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 000 Ft/hó" NA NA NA NA
"8" "36" "68" "3" " 3. kerület, Vörösvári út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "nincs megadva"
"9" "62.8" "80" "3" " 7. kerület, Erzsébet körút " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "4" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"10" "59.9" "104" "3" " 8. kerület, Rákóczi út " "felújítandó" NA "nincs megadva" "nincs megadva" "4" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "3 m²" NA NA NA
"11" "41.9" "61" "2" " 7. kerület, Rózsa utca " "felújítandó" "1950 elott" "komfortos" "HH" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "13 900 Ft/hó" NA "nincs" NA NA
"12" "79.9" "90" "3" " 5. kerület, Báthory utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "északnyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "nincs" NA NA
"13" "57.7" "63" "2" " 13. kerület, Angyalföld " "újszeru" "2013" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "6.76 m²" "van" "3 M Ft" NA
"14" "64.38" "70" "2" " 8. kerület, Blaha Lujza tér " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "nincs megadva" "egyéb" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "41 m²" NA NA NA
"15" "98" "151" "4" " 3. kerület, Ürömhegy " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "egyéb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "10 m²" NA NA NA
"16" "84.9" "111" "3" " 6. kerület, Eötvös utca " "közepes állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"17" "89.9" "115" "4" " 9. kerület, Belso-Ferencváros " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön és egyben is" "nyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"18" "32" "53" "2" " 4. kerület, Latabár Kálmán utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "4 m²" NA NA "nincs megadva"
