"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "epites_eve" "panelprogram" "legkondicionalo" "parkolohely_ara"
"1" "115" "100" "3" " 5. kerület, Pilvax köz " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "49.65" "49" "1" " 11. kerület, Sümegvár utca " "felújított" "nincs megadva" "nincs megadva" "2" "2" "nincs" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "30 000 Ft/hó" "5 m²" NA NA NA NA
"3" "27.5" "55" "2" " 18. kerület, Mikszáth Kálmán utca " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" NA "utca, közterület - ingyenes" NA "4 m²" "1950-1980 között" NA NA NA
"4" "30.9" "36" "1" " 13. kerület, Kárpát utca " "felújított" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "utca, közterület" NA NA NA "nincs megadva" NA NA
"5" "31" "72" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "közepes állapotú" "nincs megadva" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "4 m²" "1950-1980 között" "nem vett részt" "van" NA
"6" "55.9" "68" "3" " 14. kerület, Gizella út 27. " "újszeru" "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "4 m²" "2001-2010 között" NA "van" NA
"7" "34.9" "53" "2" " 11. kerület, Regos köz " "közepes állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "1981-2000 között" "nincs megadva" NA NA
"8" "28.5" "31" "1" " 7. kerület, Nagy Diófa utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "1950-1980 között" NA "van" NA
"9" "31.9" "65" "2" " 4. kerület, Galopp utca " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "8" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "észak" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "2 m²" "1981-2000 között" "nincs megadva" NA NA
"10" "18.99" "46" "1" " 21. kerület, Árpád utca 6. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva" NA NA
