"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "parkolohely_ara" "panelprogram" "lakopark_neve"
"1" "45.5" "30" "1" " 6. kerület, Király utca " "újszeru" "2018" "összkomfortos" "nincs megadva" "3" "7" "van" "nincs megadva" "elektromos" "van" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "2.67 m²" "nem" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "32.99" "55" "2" " 7. kerület, Hernád utca " "felújítandó" NA "komfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "északnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"3" "125" "157" "6" " 11. kerület, Villányi út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "nincs" "3 m vagy magasabb" "gáz (cirko), cserépkályha" NA "nem" "külön és egyben is" "délnyugat" "panorámás" "5 m²" "nem" "nem tetotéri" "utca, közterület" "60 000 Ft/hó" NA NA NA
"4" "65" "69" "2" " 7. kerület, Holló utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "50.9" "70" "3" " 1. kerület, Logodi utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "40 000 Ft/hó" NA NA NA
"6" "139.9" "71" "2" " 5. kerület, Széchenyi rakpart " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "7" "van" "nincs megadva" "házközponti" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "2.55 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "19.89" "33" "2" " 14. kerület, Alsórákos " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "egy helyiségben" "délnyugat" "utcai" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"8" "49.9" "78" "2" " 14. kerület, Alsórákos " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délnyugat" "nincs megadva" "3 m²" "igen" "nincs megadva" "utca, közterület" NA NA NA NA
"9" "38.49" "55" "3" " 14. kerület, Alsórákos " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "egy helyiségben" "kelet" "utcai" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"10" "41.9" "43" "1" " 6. kerület, Jókai tér " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" "12 000 Ft/hó" NA NA NA
"11" "43.9" "55" "2" " 2. kerület, Margit körút " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "észak" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"12" "65" "50" "2" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "94.9" "89" "4" " 13. kerület, Petneházy utca 57. " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "nincs megadva" "nincs megadva" "panorámás" "70 m²" "nem" "penthouse" "teremgarázs hely - kötelezo megvenni" NA "3.5 M Ft" NA NA
"14" "69.3" "73" "3" " 3. kerület, Aranyhegy " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délkelet" "kertre nézo" "20 m²" "igen" "nincs megadva" "teremgarázs hely - kötelezo megvenni" NA "4 M Ft" NA NA
"15" "31.2" "49" "2" " 11. kerület, Koérberek " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "külön helyiségben" "nyugat" "kertre nézo" "4.5 m²" "nem" NA "udvari beálló" NA NA NA NA
"16" "66.9" "75" "3" " 11. kerület, Szentimreváros " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"17" "36.5" "48" "1" " 11. kerület, Lágymányos – Muegyetem környéke " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "59" "68" "2" " 8. kerület, Népszínház utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA "nincs megadva" NA
"19" "54.6" "73" "3" " 4. kerület, Arsenal Sarokház " "új építésu" "2020" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "igen" "külön és egyben is" "kelet" "udvari" "4 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA "3.5 M Ft" NA "Arsenal Sarokház"
"20" "38.9" "37" "1" " 13. kerület, Visegrádi utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
