"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "panelprogram"
"1" "61" "61" "3" " 13. kerület, Gogol utca " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "5" "van" "nincs megadva" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "83" "78" "2" " 6. kerület, Munkácsy Mihály utca " "jó állapotú" "összkomfortos" "B" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "tetotéri" "utca, közterület - fizetos övezet" "2015" "30 000 Ft/hó" "34 m²" NA
"3" "285" "170" "4" " 7. kerület, Károly körút " "felújítandó" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "egyéb" NA "igen" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" "100 000 Ft/hó" "6 m²" NA
"4" "34.81" "59" "1" " 8. kerület, Baross utca " "felújított" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "észak" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"5" "52" "75" "3" " 8. kerület, Szilágyi utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"6" "34.9" "50" "1" " 13. kerület, Szent László út " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "észak" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA
"7" "34.5" "30" "1" " 9. kerület, Zsil utca " "felújított" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "egy helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA "4 m²" NA
"8" "45.8" "66" "2" " 9. kerület, Belso-Ferencváros " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"9" "38.5" "46" "1" " 11. kerület, Kelenföld – Fehérvári úti lakótelep " "felújított" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA "3.3 m²" "nincs megadva"
"10" "42.5" "79" "3" " 8. kerület, Józsefváros – Orczynegyed " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
