"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "parkolohely_ara"
"1" "25.5" "35" "1" " 15. kerület, Újpalota " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "29.9" "49" "1" " 14. kerület, Alsórákos " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" "nincs" "20 000 Ft/hó" "3 m²" NA
"3" "35.6" "61" "2" " 14. kerület, Zászlós utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északkelet" "kertre nézo" "nincs megadva" "nem tetotéri" NA "utca, közterület" NA "28 000 Ft/hó" "6 m²" NA
"4" "72" "60" "1" " 5. kerület, Nádor utca " "felújítandó" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület" NA NA NA NA
"5" "55.99" "72" "3" " 13. kerület, Kartács utca " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "nyugat" "utcai" "nem" "nem tetotéri" NA "nincs megadva" NA NA "6.09 m²" NA
"6" "49.9" "51" "1" " 6. kerület, Szinyei Merse Pál utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "északnyugat" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" NA "8 m²" NA
"7" "45" "42" "2" " 7. kerület, Király utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"8" "36.9" "42" "2" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"9" "52.99" "72" "3" " 13. kerület, Kartács utca " "újszeru" "2019" "nincs megadva" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA "15.79 m²" NA
"10" "49.9" "64" "2" " 8. kerület, Kálvária utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"11" "124.9" "131" "5" " 6. kerület, Belso-Terézváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"12" "42" "70" "3" " 9. kerület, Ülloi út " "felújítandó" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"13" "76" "92" "4" " 10. kerület, Kobánya – Újhegy " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "nincs megadva" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "110 m²" NA
"14" "63" "60" "2" " 5. kerület, Vármegye utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északkelet" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"15" "86" "101" "5" " 13. kerület, Fáy utca " "újszeru" "2019" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" NA "nincs megadva" NA NA "19.52 m²" NA
"16" "89" "84" "2" " 7. kerület, Király utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
