"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "panelprogram" "legkondicionalo" "rezsikoltseg"
"1" "52.5" "34" "1" " 8. kerület, Corvin sétány " "nincs megadva" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "8.5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "59.9" "73" "2" " 5. kerület, Stollár Béla utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA
"3" "31.3" "30" "1" " 6. kerület, Bajza utca " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "padlófutés" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"4" "69.9" "135" "3" " 7. kerület, Garay utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"5" "59.9" "72" "2" " 2. kerület, Szász Károly utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"6" "29.9" "39" "1" " 11. kerület, Gazdagréti lakótelep " "közepes állapotú" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "1981-2000 között" "nincs megadva" NA NA
"7" "36.9" "33" "1" " 5. kerület, Szent István körút " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA "nincs" NA
"8" "22.49" "27" "1" " 8. kerület, Józsefváros – Orczynegyed " "felújított" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"9" "31" "40" "2" " 13. kerület, Angyalföldi út " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA "nincs" NA
"10" "33" "64" "2" " 8. kerület, Baross utca " "közepes állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "részt vett" "van" NA
"11" "30.5" "39" "2" " 13. kerület, Visegrádi utca " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"12" "29.2" "41" "1" " 11. kerület, Ajnácsko utca " "közepes állapotú" "nincs megadva" "nincs megadva" "félemelet" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "kertre nézo" "3 m²" "nincs megadva" "nem tetotéri" "udvari beálló" "1950-1980 között" NA NA NA
"13" "38.9" "39" "2" " 6. kerület, Hunyadi tér " "jó állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA
"14" "33.5" "73" "2.5" " 17. kerület, Rákoskeresztúri lakótelep " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "nem vett részt" "nincs" "45 000 Ft/hó"
"15" "22.9" "38" "1" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "közepes állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "nincs megadva" NA NA
"16" "38.9" "56" "2" " 6. kerület, Németh László utca " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA NA NA
"17" "33.5" "59" "2" " 14. kerület, Szentmihályi út " "közepes állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "részt vett" "nincs" NA
"18" "79" "69" "3" " 2. kerület, Szépilona " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "6 m²" "nem" "nincs megadva" "udvari beálló - benne van az árban" "1950-1980 között" NA "nincs" NA
"19" "34.2" "58" "2" " 22. kerület, Leányka utca " "jó állapotú" "összkomfortos" "nincs megadva" "10" "földszintes" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nem vett részt" "nincs" "20 000 Ft/hó"
"20" "27.5" "44" "1" " 7. kerület, Murányi utca 45. " "jó állapotú" "komfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "északnyugat" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA "nincs" "11 200 Ft/hó"
