"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "epites_eve" "legkondicionalo" "panelprogram" "parkolohely_ara"
"1" "65" "47" "2" " 1. kerület, Zsolt utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "24.9" "31" "1" " 9. kerület, Dandár utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "26.9" "44" "1" " 7. kerület, Garay tér " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "6 000 Ft/hó" NA NA NA NA
"4" "138" "108" "3" " 2. kerület, Szilágyi Erzsébet fasor 37-39. " "jó állapotú" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "dél" "panorámás" "70 m²" "nem" "nem tetotéri" "nincs megadva" NA "1981-2000 között" "nincs" NA NA
"5" "35.6" "55" "1" " 14. kerület, Rákosfalva park 4. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "35 000 Ft/hó" NA NA "nincs megadva" NA
"6" "55.5" "60" "3" " 13. kerület, Jász utca 57. " "újszeru" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület" "30 000 Ft/hó" "2001-2010 között" "van" NA NA
"7" "26" "35" "1" " 8. kerület, Tömo utca 48-54 " "felújított" "összkomfortos" "nincs megadva" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "délkelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "9 750 Ft/hó" "1981-2000 között" "nincs" "nem vett részt" NA
"8" "26.39" "51" "2" " 17. kerület, Pesti út 37. " "felújított" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "3 m²" "nem" "nincs megadva" "utca, közterület" "25 000 Ft/hó" "1981-2000 között" NA "nincs megadva" NA
"9" "26.9" "48" "2" " 15. kerület, Dobó utca 38. " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "dél" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "1981-2000 között" "van" "nincs megadva" NA
"10" "31.4" "71" "2" " 4. kerület, Rózsa utca " "közepes állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "1981-2000 között" "nincs" "nem vett részt" NA
