"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "legkondicionalo" "erkely"
"1" "48.8" "45" "1" " 7. kerület, Hársfa utca " "felújított" "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "52" "48" "1" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"3" "58" "71" "2" " 7. kerület, Középso-Erzsébetváros " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"4" "23.25" "27" "1" " 7. kerület, Külso-Erzsébetváros " "felújítandó" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA
"5" "29.7" "39" "1" " 14. kerület, Bánki Donát utca 12. " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "25 000 Ft/hó" NA NA
"6" "21.9" "51" "1" " 23. kerület, Vecsés út " "felújítandó" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "1950 elott" NA "nincs" "6 m²"
"7" "88" "115" "4" " 7. kerület, Erzsébet körút 2. " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950 elott" "30 000 Ft/hó" NA "4 m²"
"8" "56.84" "98" "2" " 14. kerület, Thököly út " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA "6 m²"
"9" "43.9" "98" "2" " 8. kerület, Fiumei út " "felújítandó" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" NA
"10" "129.9" "115" "3" " 2. kerület, Frankel Leó út " "felújított" "luxus" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "van" NA
"11" "7.8" "14" "1" " 20. kerület, Szent Imre herceg utca " "jó állapotú" "nincs megadva" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"12" "59.8" "73" "2" " 11. kerület, Fadrusz utca " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "35 000 Ft/hó" "van" "5 m²"
"13" "72" "115" "3" " 13. kerület, Visegrádi utca " "felújított" "duplakomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA "40 000 Ft/hó" "van" NA
"14" "69.8" "98" "2" " 9. kerület, Lónyay utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"15" "89.9" "120" "4" " 2. kerület, Margit körút " "felújított" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "van" NA
"16" "54.5" "80" "4" " 11. kerület, Duránci utca " "felújított" "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "megújuló energia" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA "van" "11 m²"
"17" "31.9" "53" "2" " 9. kerület, Ülloi út " "közepes állapotú" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m vagy magasabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "nincs megadva" "nem" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "nincs" "3 m²"
