"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "rezsikoltseg"
"1" "20.9" "60" "3" " 20. kerület, Erdo utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "igen" "nincs megadva" "udvari beálló" NA NA NA
"2" "23.9" "35" "1" " 19. kerület, Táncsics Mihály utca 2. " "felújított" NA "nincs megadva" "nincs megadva" "1" "több mint 10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "részt vett" NA
"3" "82" "99" "3" " 13. kerület, Visegrádi utca " "felújított" NA "nincs megadva" "nincs megadva" "3" "5" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "31.9" "49" "1" " 7. kerület, Alsó erdosor 5. " "jó állapotú" "1950 elott" "összkomfortos" "GG" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"5" "36.9" "54" "2" " 14. kerület, Bácskai utca 25. " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" NA NA
"6" "69.9" "76" "2" " 9. kerület, Kinizsi utca 22. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "37 000 Ft/hó"
"7" "32.9" "54" "2" " 10. kerület, Vörösdinka utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" NA "30 000 Ft/hó"
"8" "36.9" "59" "2" " 3. kerület, Zápor utca 65. " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"9" "29" "36" "1" " 8. kerület, Ülloi út " "jó állapotú" "1950 elott" "összkomfortos" "JJ" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "7 455 Ft/hó"
"10" "29" "59" "2" " 19. kerület, Kossuth Lajos utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nem vett részt" NA
"11" "27.9" "51" "2" " 8. kerület, Tömo utca 32-38 " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "igen" "külön helyiségben" "kelet" "nincs megadva" "nem" "nem tetotéri" "utca, közterület" "8 m²" "nem vett részt" NA
"12" "29.8" "51" "2" " 3. kerület, Búvár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "nincs megadva" NA
"13" "99.9" "94" "4" " 13. kerület, Pannónia utca 14. " "nincs megadva" NA "duplakomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "távfutés" "van" "igen" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" "6 m²" NA NA
"14" "84.9" "80" "3" " 12. kerület, Hollósy Simon utca " "felújított" NA "nincs megadva" "nincs megadva" "félemelet" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "8 m²" NA NA
"15" "42.5" "54" "1" " 9. kerület, Vendel utca 32. " "jó állapotú" "2001-2010 között" "komfortos" "CC" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "3 m²" NA "28 000 Ft/hó"
"16" "35" "76" "2" " 4. kerület, Lakkozó utca 7. " "jó állapotú" "2001-2010 között" "összkomfortos" "CC" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1 m²" "részt vett" NA
"17" "58.9" "77" "2" " 7. kerület, Hernád utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"18" "21.9" "24" "1" " 13. kerület, Jász utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "igen" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"19" "89" "56" "3" " 13. kerület, Turóc utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "igen" "nincs megadva" "nincs megadva" "5 m²" NA "30 000 Ft/hó"
"20" "46.69" "71" "2" " 4. kerület, Nyár utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "utca, közterület - ingyenes" "4 m²" NA NA
