"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "legkondicionalo" "panelprogram"
"1" "79.5" "109" "4" " 13. kerület, Kucsma 14. Társasház " "Kucsma 14. Társasház" "új építésu" "2019" "duplakomfortos" "nincs megadva" "földszint" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön és egyben is" "nincs megadva" "kertre nézo" "51.33 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "3.9 M Ft" NA NA NA
"2" "38" "43" "1" " 7. kerület, Rejto Jeno utca 10. " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "2" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "11 000 Ft/hó" NA NA
"3" "39.9" "65" "2" " 8. kerület, Práter utca 29. " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"4" "67.2" "94" "4" " 7. kerület, Belso-Erzsébetváros " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "nincs megadva" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "van" NA
"5" "116" "80" "2" " 7. kerület, Akácfa utca " NA "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "59.5" "86" "2" " 9. kerület, Ülloi út 101. " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs megadva" "külön helyiségben" "észak" "panorámás" "4 m²" "nem" "nem tetotéri" "nincs megadva" NA "16 500 Ft/hó" "nincs" NA
"7" "35.9" "55" "2" " 14. kerület, Kerepesi út " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "utcai" "6 m²" "nem" "nem tetotéri" "önálló garázs - kötelezo megvenni" "2 M Ft" NA NA NA
"8" "74.9" "66" "2" " 2. kerület, Cimbalom utca " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "házközponti" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "10 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "30 000 Ft/hó" NA NA
"9" "25.8" "37" "1" " 18. kerület, Havanna utca " NA "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "délkelet" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "van" "nem vett részt"
"10" "92" "86" "4" " 11. kerület, Rétköz utca " NA "felújított" "2001-2010 között" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön és egyben is" "délnyugat" "utcai" "33 m²" "nem" "tetotéri" "teremgarázs hely - kötelezo megvenni" "5 M Ft" NA "van" NA
