"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram" "lakopark_neve"
"1" "54.79" "80" "2" " 3. kerület, Újlak " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "kelet" "utcai" "2 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "67.9" "75" "3" " 22. kerület, Budatétény " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "északkelet" "kertre nézo" "21 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "8 M Ft" NA NA NA
"3" "32.99" "68" "2" " 14. kerület, Vezér utca 53. " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "40 000 Ft/hó" "részt vett" NA
"4" "58.8" "68" "3" " 7. kerület, Vörösmarty utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA "17 000 Ft/hó" NA NA
"5" "18" "39" "1" " 10. kerület, Salgótarjáni utca 57. " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"6" "39.9" "56" "2" " 14. kerület, Ungvár utca 4. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "egy helyiségben" "kelet" "panorámás" "8 m²" "nincs megadva" NA "utca, közterület" NA "29 000 Ft/hó" NA NA
"7" "45" "44" "1" " 7. kerület, Hársfa utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "18 001 Ft/hó" NA NA
"8" "28.9" "59" "2" " 21. kerület, Kossuth Lajos utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" NA
"9" "51.9" "62" "2" " 5. kerület, Október 6. utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nem" "nincs megadva" "nincs megadva" NA "5 000 Ft/hó" NA NA
"10" "59.3" "60" "3" " 11. kerület, Madárhegy " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "2" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "dél" "panorámás" "18 m²" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" NA NA NA NA
"11" "63" "105" "4" " 14. kerület, Nagy Lajos király útja " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "nincs megadva" "kelet" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "38.9" "69" "3" " 3. kerület, Óbudai lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "részt vett" NA
