"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "panelprogram" "parkolohely_ara"
"1" "35" "51" "2" " 14. kerület, Thököly út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "1 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA
"2" "29.5" "40" "1" " 8. kerület, Koris utca 2. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "16 000 Ft/hó" NA NA NA
"3" "22.9" "38" "1" " 14. kerület, Handzsár utca 10. " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "7 700 Ft/hó" "nincs" NA NA
"4" "54" "61" "1" " 7. kerület, Erzsébet körút 15. " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "6 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"5" "52.9" "34" "1" " 6. kerület, Zichy Jeno utca 1. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "2 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "26.9" "44" "1" " 14. kerület, Thököly út " "felújítandó" NA "összkomfortos" "FF" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "udvari" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" "8 500 Ft/hó" "nincs" NA NA
"7" "44.9" "74" "2" " 8. kerület, Kerepesi út 1-5. " "felújítandó" "1950-1980 között" "komfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "egyéb" "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "udvari beálló" NA NA NA NA
"8" "36.9" "64" "3" " 8. kerület, Szigony utca 2. " "felújított" "1950-1980 között" "összkomfortos" "CC" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA "részt vett" NA
"9" "22.9" "38" "1" " 14. kerület, Kerepesi út 30. " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "10 000 Ft/hó" "nincs" NA NA
"10" "18.5" "16" "1" " 5. kerület, Szent István körút " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "nincs megadva" "padlófutés" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" "15 000 Ft/hó" NA NA NA
