"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "59.5" "79" "2" " 2. kerület, Széll Kálmán tér 11. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "32.5" "53" "2" " 14. kerület, Ungvár utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "kelet" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "van" "5 m²" NA NA NA
"3" "39.9" "57" "1" " 4. kerület, Szilaspatak sor " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "önálló garázs - megvásárolható" "van" "6 m²" "25 000 Ft/hó" "4.8 M Ft" NA
"4" "232" "146" "4" " 5. kerület, Belgrád rakpart 27. " "újszeru" "1950 elott" "luxus" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület" "van" NA "38 000 Ft/hó" NA NA
"5" "31.5" "68" "2" " 10. kerület, Agyagfejto utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "nincs megadva"
"6" "57.9" "62" "2" " 3. kerület, Árpád fejedelem útja 69. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" "zárószint" "utca, közterület" "van" "4 m²" "35 000 Ft/hó" NA NA
"7" "23" "22" "1" " 8. kerület, Lujza utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"8" "39" "52" "2" " 9. kerület, Ülloi út 161. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "5" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "kelet" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA NA NA NA
"9" "36.9" "68" "2" " 22. kerület, Leányka utca " "felújított" NA "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "van" "5 m²" NA NA "nincs megadva"
"10" "59" "60" "2" " 3. kerület, Nánási út " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nem" "tetotéri" "teremgarázs hely - kötelezo megvenni" "van" "20 m²" "13 000 Ft/hó" "3.5 M Ft" NA
