"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "parkolohely_ara" "panelprogram" "legkondicionalo"
"1" "45.9" "56" "2" " 20. kerület, Téglagyártó utca 9. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "15 844 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "99" "103" "4" " 3. kerület, Rómaifürdo " "nincs megadva" "duplakomfortos" "nincs megadva" "1" "3" "van" "nincs megadva" "gáz (cirko), padlófutés" NA "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "2020" "9.5 m²" "3 M Ft" NA NA
"3" "99" "103" "4" " 3. kerület, Rómaifürdo " "nincs megadva" "duplakomfortos" "nincs megadva" "1" "3" "van" "nincs megadva" "gáz (cirko), padlófutés" NA "nincs megadva" "egy helyiségben" "északnyugat" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "2020" "9.5 m²" "3 M Ft" NA NA
"4" "99" "103" "4" " 3. kerület, Rómaifürdo " "nincs megadva" "duplakomfortos" "nincs megadva" "földszint" "3" "van" "nincs megadva" "gáz (cirko), padlófutés" NA "nincs megadva" "egy helyiségben" "északnyugat" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "2020" "32 m²" "2.99 M Ft" NA NA
"5" "28.5" "56" "2" " 21. kerület, Kiss János altábornagy utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "34 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva" NA
"6" "35.5" "68" "2" " 8. kerület, Auróra utca " "közepes állapotú" "komfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "cserépkályha" "21 999 Ft/hó" "nem" "külön helyiségben" "délnyugat" "utcai" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "3 m²" NA NA "nincs"
"7" "31.9" "52" "2" " 8. kerület, Józsefváros – Magdolnanegyed " "közepes állapotú" "összkomfortos" "nincs megadva" "félemelet" "7" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "északnyugat" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA "nincs"
"8" "27.99" "58" "2" " 15. kerület, Baksay Sándor utca " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "gáz (cirko)" "15 000 Ft/hó" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA NA NA
"9" "32.9" "42" "1" " 13. kerület, Gyöngyösi utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nyugat" "nincs megadva" "nincs megadva" NA "nincs megadva" "1981-2000 között" "4 m²" NA NA NA
"10" "33.9" "69" "3" " 3. kerület, Kerék utca " "jó állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" NA NA "nem vett részt" "van"
"11" "167.99" "117" "3" " 7. kerület, Erzsébet körút " "újszeru" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" NA "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nem" "nem tetotéri" "önálló garázs - bérelheto" "1950 elott" "3 m²" "23 000 Ft/hó" NA "van"
"12" "42.5" "55" "1" " 8. kerület, Vajdahunyad utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" NA "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "3 m²" NA NA NA
"13" "60" "56" "2" " 12. kerület, Zeke utca " "felújított" "duplakomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "16 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "6 m²" NA NA "nincs"
