"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "49.9" "67" "3" " 13. kerület, Concrete Yellow " "Concrete Yellow" "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "nyugat" "kertre nézo" "15.77 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2.8 M Ft" NA NA
"2" "54" "70" "2" " 2. kerület, Víziváros " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "36" "47" "2" " 16. kerület, Cinkota – Európa lakókert " NA "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "tetotéri" "utca, közterület - ingyenes" NA "5 000 Ft/hó" NA
"4" "32.99" "37" "1" " 3. kerület, Óbuda-Óváros " NA "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"5" "26.3" "60" "2" " 10. kerület, Mádi utca " NA "felújítandó" NA "nincs megadva" "AA+" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA "35 000 Ft/hó" "nincs megadva"
"6" "41.9" "108" "4" " 14. kerület, Padlizsán utca 5. " NA "felújított" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "tetotéri" "utca, közterület" NA NA NA
"7" "115" "135" "4" " 12. kerület, Istenhegy – Diósárok " NA "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "24 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"8" "96" "98" "4" " 2. kerület, Országút " NA "jó állapotú" "1950 elott" "nincs megadva" "CC" "3" "5" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "dél" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"9" "59" "120" "3.5" " 16. kerület, Gida utca " NA "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "igen" "nincs megadva" "udvari beálló" NA NA NA
"10" "200" "160" "2" " 7. kerület, Külso-Erzsébetváros – Ligetváros " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"11" "47.8" "83" "2" " 8. kerület, Kisfaludy utca " NA "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "5" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "40 000 Ft/hó" NA
"12" "24.9" "47" "2" " 20. kerület, Kossuth Lajos utca " NA "nincs megadva" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "házközponti" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"13" "370" "96" "2" " 6. kerület, Andrássy út " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "északnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
