"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "parkolohely_ara" "panelprogram" "legkondicionalo"
"1" "324.9" "144" "3" " 6. kerület, Andrássy út " "befejezetlen" "luxus" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "hoszivattyú" "nem" "nincs megadva" "nincs megadva" "utcai" "18 m²" "nincs megadva" "tetotéri" "utca, közterület" NA NA NA NA NA
"2" "36.9" "37" "1" " 11. kerület, Lágymányosi lakótelep " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"3" "41.9" "64" "3" " 4. kerület, Újpest " "újszeru" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "nincs megadva" "utcai" "12 m²" "igen" "nem tetotéri" "udvari beálló - kötelezo megvenni" "2001-2010 között" "30 000 Ft/hó" "1.8 M Ft" NA NA
"4" "34.9" "50" "2" " 11. kerület, Kelenföldi lakótelep " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva" NA
"5" "34.9" "48" "2" " 11. kerület, Kelenföld " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva" NA
"6" "44.4" "48" "1" " 11. kerület, Lágymányos " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "75" "85" "2" " 14. kerület, Cházár András utca " "felújított" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "igen" "külön és egyben is" "nyugat" "panorámás" "1 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
"8" "39" "76" "2" " 8. kerület, Baross utca " "felújítandó" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"9" "23.9" "111" "3" " 23. kerület, Soroksár – Vargatelep " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA NA NA NA
"10" "65" "84" "3" " 7. kerület, Garay tér 19. " "felújított" "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
